chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,Ch08,Ch09,Ch08--Ch09,0.09300938919507451,21.842707564297925,28.421990954071614,2.6182112337410656e-19,2.3825722227043696e-17,0.31013843147694775,0.37428024780015345,7.72256331909488,32,True,+
HbO,Ch08,Ch11,Ch08--Ch11,0.09302351742707748,19.39890500470077,29.999937800353525,1.5819747812223475e-18,7.197985254561681e-17,0.29772795991589457,0.3677924346227444,6.8585486382087835,32,True,+
HbO,Ch10,Ch14,Ch10--Ch14,0.09673735724931376,19.15412812359366,29.762078844877227,2.754557756467535e-18,8.355491861284856e-17,0.3082698804542179,0.38188052997854416,6.772006941954519,32,True,+
HbO,Ch09,Ch11,Ch09--Ch11,0.09384819883219497,18.76146691671537,29.60705449146359,5.544965648004186e-18,1.2614796849209522e-16,0.3058555788609818,0.3806236264059819,6.633180240908253,32,True,+
HbO,Ch09,Ch10,Ch09--Ch10,0.0943775429230177,19.2090593831335,28.32935518200574,8.73935685347815e-18,1.3254691227775194e-16,0.3037391833021882,0.3762092655921708,6.791428075014388,32,True,+
HbO,Ch11,Ch14,Ch11--Ch14,0.09390413441107959,18.240616219788983,29.99993067934139,8.720883608174959e-18,1.3254691227775194e-16,0.3026638419539519,0.3789830143842726,6.449031711017059,32,True,+
HbO,Ch08,Ch14,Ch08--Ch14,0.08176285138874906,17.93880676117714,29.63059373615735,1.8499676321273883e-17,2.404957921765605e-16,0.2649033256246732,0.33300925407399984,6.342325953611722,32,True,+
HbO,Ch10,Ch12,Ch10--Ch12,0.0942341656534138,17.507139430297034,29.88107374829284,2.954497141762365e-17,3.36074049875469e-16,0.29905480022804803,0.3780553885808559,6.189708505170711,32,True,+
HbO,Ch11,Ch12,Ch11--Ch12,0.08644281731518744,17.416444596490063,29.629045949976405,4.1309760193818896e-17,4.176875752930577e-16,0.27350582596995393,0.3462129363254158,6.157643039168965,32,True,+
HbO,Ch12,Ch14,Ch12--Ch14,0.08619179497748031,16.676194898771453,29.858357851577736,1.1270443713194546e-16,1.0256103779007037e-15,0.2758107751469516,0.3528111101323874,5.895925248654902,32,True,+
HbO,Ch08,Ch10,Ch08--Ch10,0.0949710014908075,19.60303629980505,24.57513085469122,1.6243795664505967e-16,1.3438049140636755e-15,0.2986853369848274,0.3688830944427877,6.930719949719098,32,True,+
HbO,Ch09,Ch14,Ch09--Ch14,0.08735384014248193,15.876365206149941,29.854982087577188,4.2433499244838076e-16,3.2178736927335538e-15,0.279423563709721,0.36194324673178635,5.613142748931391,32,True,+
HbO,Ch09,Ch12,Ch09--Ch12,0.08984466434169647,17.405685721349652,25.734077756018316,9.42532213217213e-16,6.59772549252049e-15,0.2925795823319504,0.37098257544322893,6.153839202384102,32,True,+
HbO,Ch08,Ch13,Ch08--Ch13,0.08645515267399373,16.12376733791981,27.682011127310616,1.335031603694197e-15,8.677705424012281e-15,0.2746347824610181,0.3546181772326728,5.700612611458632,32,True,+
HbO,Ch13,Ch14,Ch13--Ch14,0.09171016376607866,14.910559470824648,29.257511246923386,3.314457977548552e-15,2.0107711730461215e-14,0.2892210414400072,0.3811365181029071,5.271678856552704,32,True,+
HbO,Ch10,Ch13,Ch10--Ch13,0.08926380567602965,15.181250650339578,28.41741049908491,3.6407832674048616e-15,2.070695483336515e-14,0.28084792032170436,0.3683919673421049,5.3673826408739,32,True,+
HbO,Ch08,Ch12,Ch08--Ch12,0.08668036541066815,15.423644841050503,27.113211133677012,6.041347445270548e-15,3.2338977501154105e-14,0.2729399089005569,0.35668325789254113,5.45308192885986,32,True,+
HbO,Ch09,Ch13,Ch09--Ch13,0.08897474421168483,16.45352575292128,24.615374563688967,8.670482782959359e-15,4.383410740273898e-14,0.2978541966738047,0.3831673548699445,5.817199817159065,32,True,+
HbO,Ch11,Ch13,Ch11--Ch13,0.09222362496796865,15.850557327350959,25.339708093831746,1.1574007675539127e-14,5.5433405182845294e-14,0.2901345712579795,0.37672379901433684,5.604018285877991,32,True,+
HbO,Ch10,Ch11,Ch10--Ch11,0.09907096666762905,14.87246307198837,26.52638156283253,2.1868868520260155e-14,9.95033517671837e-14,0.30520724899336604,0.40299353476838784,5.258209745574745,32,True,+
HbO,Ch12,Ch13,Ch12--Ch13,0.08973579024486877,13.240036708044725,29.95075962317641,4.726503471107559e-14,2.048151504146609e-13,0.2807545608337209,0.38317215702752155,4.681059869708618,32,True,+
HbO,Ch01,Ch07,Ch01--Ch07,0.012364711796267858,2.898714791217824,28.015531361862358,0.007203351145023122,0.029795679736232008,0.012372152733925085,0.07197657570570518,1.0248504427979355,32,True,+
