chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S11_D11,S14_D14,S11_D11--S14_D14,-0.05056765012233355,-0.7934724096318033,5.0,0.46347659894291515,0.9595252328778843,-0.3288609894946466,0.1737254876606569,-0.3239337547624258,6,False,-
HbO,S11_D11,S15_D15,S11_D11--S15_D15,0.03391136926652938,0.19318987887546993,5.0,0.8544127694284785,0.9595252328778843,-0.5367619279076392,0.623997834921244,0.07886943778583136,6,False,+
HbO,S11_D11,S1_D1,S11_D11--S1_D1,-0.23570632040391004,-1.1740515439664923,5.0,0.29324548159141384,0.9595252328778843,-0.9378803138924356,0.3497747671230009,-0.4793045357407794,6,False,-
HbO,S11_D11,S2_D1,S11_D11--S2_D1,0.04333505748202959,0.41029095759198997,5.0,0.6985816941384221,0.9595252328778843,-0.30057796355384453,0.41475186647677004,0.16750058202971124,6,False,+
HbO,S11_D11,S2_D2,S11_D11--S2_D2,0.1599934114115874,1.596063043167266,5.0,0.17136210364038074,0.9595252328778843,-0.14842632575260636,0.6346104301486537,0.6515900088455873,6,False,+
HbO,S11_D11,S2_D4,S11_D11--S2_D4,-0.0303198274138754,-0.2365490712324315,5.0,0.8223919665799151,0.9595252328778843,-0.4853864504006061,0.4035821328676235,-0.09657075394145473,6,False,-
HbO,S11_D11,S3_D1,S11_D11--S3_D1,-0.0638100787802981,-0.7546550067346449,5.0,0.4844623297715411,0.9595252328778843,-0.4001053573792368,0.21849933923329012,-0.3080866163894138,6,False,-
HbO,S11_D11,S3_D4,S11_D11--S3_D4,-0.04604759571237821,-0.35284252574696223,5.0,0.7385938389248895,0.9595252328778843,-0.5040079007312851,0.38234549479422536,-0.1440473579391489,6,False,-
HbO,S11_D11,S5_D3,S11_D11--S5_D3,-0.08666146599371077,-1.0548377617968951,5.0,0.3397802769264627,0.9595252328778843,-0.3777577847352437,0.15793595973402397,-0.43063571297030995,6,False,-
HbO,S11_D11,S6_D5,S11_D11--S6_D5,0.02268271027565516,0.43485426119532444,5.0,0.6817966483649824,0.9595252328778843,-0.164105337207459,0.23093212356689213,0.17752850873391737,6,False,+
HbO,S11_D11,S7_D8,S11_D11--S7_D8,0.022212380216785788,0.19727532949571955,5.0,0.8513809099729945,0.9595252328778843,-0.29250480353657243,0.34113230390153343,0.0805373160173228,6,False,+
HbO,S11_D11,S8_D6,S11_D11--S8_D6,-0.07267347465148066,-0.325158360740389,5.0,0.7582263152871258,0.9595252328778843,-1.050144162713879,0.8143059097405015,-0.1327453449022959,6,False,-
HbO,S11_D11,S8_D8,S11_D11--S8_D8,-0.013352380358720883,-0.13595044978714713,5.0,0.8971644507874525,0.9595252328778843,-0.3984879581786126,0.3584554653530795,-0.05550153871339607,6,False,-
HbO,S11_D11,S9_D9,S11_D11--S9_D9,0.10249072728378572,1.0896499485947042,5.0,0.32557490775502895,0.9595252328778843,-0.22392765409612733,0.553453622048929,0.44484772871782424,6,False,+
HbO,S14_D14,S15_D15,S14_D14--S15_D15,-0.03708482219720077,-0.4498350541857807,5.0,0.6716603119477763,0.9595252328778843,-0.3738051896222428,0.2624624949794832,-0.1836443918620642,6,False,-
HbO,S14_D14,S1_D1,S14_D14--S1_D1,0.02988341468452893,0.36700474428398755,5.0,0.7286359969034065,0.9595252328778843,-0.2633103446914997,0.3510187766769922,0.14982905944606514,6,False,+
HbO,S14_D14,S2_D1,S14_D14--S2_D1,-0.022433398193718534,-0.3151808876718992,5.0,0.7653538841076264,0.9595252328778843,-0.2603456073692503,0.20347609486958654,-0.1286720585789357,6,False,-
HbO,S14_D14,S2_D2,S14_D14--S2_D2,-0.09790838090252646,-0.8307881377356314,5.0,0.44394143824971266,0.9595252328778843,-0.5592023459602544,0.2860308419752549,-0.33916783696822794,6,False,-
HbO,S14_D14,S2_D4,S14_D14--S2_D4,0.06668317208928992,0.6996750545869642,5.0,0.5153353377184935,0.9595252328778843,-0.2366062008201359,0.41357648940029795,0.2856411449153382,6,False,+
HbO,S14_D14,S3_D1,S14_D14--S3_D1,-0.05244816033212052,-1.208305438692231,5.0,0.2809536674356564,0.9595252328778843,-0.22209863651034234,0.08006582582309586,-0.4932886297042914,6,False,-
HbO,S14_D14,S3_D4,S14_D14--S3_D4,-0.09227233521449507,-0.9826802938104994,5.0,0.3708930684360926,0.9595252328778843,-0.48714916782263673,0.21769992938999863,-0.401177550020663,6,False,-
HbO,S14_D14,S5_D3,S14_D14--S5_D3,0.0778557314411108,1.117453316736779,5.0,0.3145984252209272,0.9595252328778843,-0.1922446150389406,0.48791616770069357,0.4561984062309638,6,False,+
HbO,S14_D14,S6_D5,S14_D14--S6_D5,0.07072800899174614,1.1975112187925947,5.0,0.28477659450018133,0.9595252328778843,-0.12142028413238223,0.3332115068908278,0.4888819078833739,6,False,+
HbO,S14_D14,S7_D8,S14_D14--S7_D8,-0.05406379165054481,-0.4223825163902251,5.0,0.6902938460166006,0.9595252328778843,-0.4432081196112675,0.318112502806322,-0.17243694023813402,6,False,-
