chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S11_D13,S9_D9,S11_D13--S9_D9,0.084146646006375,8.598965415604855,4.0,0.0010050569545094904,0.3939823261677202,0.1554170027097755,0.3036369327173368,3.845574241092437,6,False,+
HbO,S16_D15,S7_D6,S16_D15--S7_D6,-0.1012016358447203,-8.832778585924673,4.0,0.000906845872500647,0.3939823261677202,-0.32698566624513725,-0.17058283059121016,-3.9501386696664076,6,False,-
HbO,S1_D16,S6_D6,S1_D16--S6_D6,0.1868871087844859,10.509353529180297,4.0,0.000463529310007443,0.3939823261677202,0.3309551832309837,0.5686093356251166,4.699925778164893,6,False,+
HbO,S3_D1,S8_D8,S3_D1--S8_D8,0.13893189678759577,6.079466101927933,5.0,0.0017404345549329034,0.5116877591502735,0.14533459273478633,0.358276619784586,2.481931643045084,6,False,+
HbO,S6_D6,S9_D9,S6_D6--S9_D9,0.15875634502956903,6.873533227226696,4.0,0.002346959684633964,0.5520049178259083,0.2975192364270747,0.7007548042630314,3.07393750833648,6,False,+
HbO,S10_D10,S11_D13,S10_D10--S11_D13,0.08138458868186671,5.929108958542971,4.0,0.004055234577583482,0.5961194829047719,0.12556019045643976,0.3467134706138455,2.6515781354610124,6,False,+
HbO,S11_D13,S6_D7,S11_D13--S6_D7,0.07991574052127304,6.345989922295041,4.0,0.003158450317163084,0.5961194829047719,0.16699468656398989,0.42677659370456045,2.838012970156064,6,False,+
HbO,S15_D2,S5_D3,S15_D2--S5_D3,0.14408331251893847,5.99101415581802,4.0,0.0039039208523320183,0.5961194829047719,0.17510913679336057,0.4775950365014622,2.6792629813145217,6,False,+
HbO,S11_D10,S1_D16,S11_D10--S1_D16,0.12641496920457218,4.415841593308847,4.0,0.011548101879985303,0.8516534173779918,0.08421799234757965,0.3694773964255326,1.974824396101912,6,False,+
HbO,S12_D11,S1_D2,S12_D11--S1_D2,0.29396651540862817,3.591895669125096,4.0,0.02292304435039499,0.8516534173779918,0.15717641492783052,1.2274845542151567,1.6063445768501612,6,False,+
HbO,S12_D13,S15_D2,S12_D13--S15_D2,0.12018093808429797,3.9089853136272574,4.0,0.01740874518731348,0.8516534173779918,0.0892549402644928,0.5268755036098305,1.7481513768637764,6,False,+
HbO,S12_D13,S2_D4,S12_D13--S2_D4,0.21990368604547617,3.182408994450872,5.0,0.024472084088426778,0.8516534173779918,0.08421674281741609,0.7918872874279433,1.2992130315413901,6,False,+
HbO,S12_D13,S6_D6,S12_D13--S6_D6,0.17529650455734969,4.07387319156402,4.0,0.01517457267363259,0.8516534173779918,0.18333217811050906,0.9679794874897769,1.8218914776102344,6,False,+
HbO,S12_D14,S5_D6,S12_D14--S5_D6,0.047890201357909,4.321844611989132,4.0,0.012429317173641588,0.8516534173779918,0.07136532316718777,0.32779338764844757,1.9327876681197804,6,False,+
HbO,S12_D14,S6_D6,S12_D14--S6_D6,0.049759259649535204,3.6690003718224813,4.0,0.021409966135383936,0.8516534173779918,0.06965056954456489,0.5029704772686934,1.6408268481734143,6,False,+
HbO,S12_D14,S6_D7,S12_D14--S6_D7,0.058632111656721664,3.5293996286569316,4.0,0.024243675685862182,0.8516534173779918,0.051718238716488674,0.4331299873946673,1.5783954978878825,6,False,+
HbO,S14_D13,S6_D3,S14_D13--S6_D3,0.16183934910027753,3.976892214683867,4.0,0.016443727315582538,0.8516534173779918,0.1289779492943724,0.72558931712068,1.778520266244563,6,False,+
HbO,S15_D2,S4_D14,S15_D2--S4_D14,0.10206392126403552,4.785540700629696,4.0,0.008740018077376415,0.8516534173779918,0.1564493127651093,0.5888557444211098,2.140158863139994,6,False,+
HbO,S15_D2,S6_D6,S15_D2--S6_D6,0.16795815065381203,4.961765334009368,4.0,0.007696432319149867,0.8516534173779918,0.18554088688299772,0.656999559537582,2.218968915049379,6,False,+
HbO,S16_D15,S7_D4,S16_D15--S7_D4,-0.14027346182076805,-4.533032047840609,4.0,0.010552937976957376,0.8516534173779918,-0.5784814502793507,-0.13901855643661032,-2.027233560631336,6,False,-
HbO,S1_D1,S6_D6,S1_D1--S6_D6,0.2001084077964279,3.5409711083514623,4.0,0.02399245487431935,0.8516534173779918,0.10391802147268847,0.8586933485891811,1.5835704209273285,6,False,+
HbO,S1_D1,S6_D7,S1_D1--S6_D7,0.2841795695200279,3.1833810632628587,5.0,0.024445453335541305,0.8516534173779918,0.08734679811303903,0.8201548125748522,1.2996098769720967,6,False,+
HbO,S1_D16,S6_D7,S1_D16--S6_D7,0.20698110852379115,4.012542571436445,4.0,0.015962863900853073,0.8516534173779918,0.1412018983265782,0.7755197092778656,1.7944635904687392,6,False,+
HbO,S1_D16,S8_D8,S1_D16--S8_D8,0.19080666157878845,3.6615563524901615,4.0,0.021550736378566852,0.8516534173779918,0.09147037086173537,0.665324706633848,1.6374977815228364,6,False,+
HbO,S1_D2,S5_D4,S1_D2--S5_D4,0.1929400054316679,3.5363277433650127,4.0,0.024092889950879517,0.8516534173779918,0.07574364662635591,0.6292451121495124,1.5814938449765197,6,False,+
HbO,S4_D14,S5_D3,S4_D14--S5_D3,0.06822117679700768,3.762838774168046,4.0,0.019726328939799382,0.8516534173779918,0.05209480893068455,0.3453618519213598,1.682792657482346,6,False,+
HbO,S4_D2,S6_D6,S4_D2--S6_D6,0.14699505148849223,3.749261266025113,4.0,0.019959870669615066,0.8516534173779918,0.1425090253160251,0.9559586815156054,1.6767206112478148,6,False,+
HbO,S4_D5,S6_D6,S4_D5--S6_D6,0.11109302433540291,3.976188704967562,4.0,0.016453390330640878,0.8516534173779918,0.13513880893320573,0.7606149267584865,1.7782056471348648,6,False,+
HbO,S5_D3,S7_D4,S5_D3--S7_D4,0.1675628430256042,4.361464702435718,4.0,0.012048301776625527,0.8516534173779918,0.09724722144285922,0.4379389989320738,1.9505063112224317,6,False,+
HbO,S5_D3,S7_D6,S5_D3--S7_D6,0.07528991920318417,3.1769360248718774,5.0,0.024622632815350105,0.8516534173779918,0.032924302964798036,0.31208330493028735,1.2969787010670046,6,False,+
HbO,S5_D4,S6_D3,S5_D4--S6_D3,0.19053495013419497,3.72539724856502,4.0,0.020378414119032438,0.8516534173779918,0.13055392642870517,0.8945035365979561,1.666048298196413,6,False,+
HbO,S6_D6,S8_D7,S6_D6--S8_D7,0.15342261619546782,4.118879522083514,4.0,0.014625795061273645,0.8516534173779918,0.15786402919042813,0.8108580311609246,1.8420189205021167,6,False,+
HbO,S6_D6,S8_D9,S6_D6--S8_D9,0.11008710876273664,3.7544084853629958,4.0,0.01987094794475695,0.8516534173779918,0.11311560196759524,0.755387625182578,1.6790225177147367,6,False,+
HbO,S6_D7,S8_D6,S6_D7--S8_D6,0.21936429091718523,4.2917864504439205,5.0,0.007775860216817157,0.8516534173779918,0.19007419831050332,0.7578176001078887,1.7521144814297014,6,False,+
HbO,S14_D13,S5_D4,S14_D13--S5_D4,0.09148473085497633,3.477727992533512,4.0,0.025404394953735216,0.8535876704455033,0.05309877235935312,0.47354486985142963,1.5552872397117627,6,False,+
HbO,S10_D10,S1_D16,S10_D10--S1_D16,0.13222278677544097,3.1861555675307844,4.0,0.03333842921800562,0.8712442835638803,0.034784921380515255,0.5062321192464526,1.4248920871776511,6,False,+
HbO,S11_D11,S1_D16,S11_D11--S1_D16,0.16871341266272322,3.2603631563158895,4.0,0.03107016756130034,0.8712442835638803,0.04849300971312426,0.6049433390332735,1.4580787297716202,6,False,+
HbO,S11_D11,S6_D6,S11_D11--S6_D6,0.1598538798483755,3.3805706245457756,4.0,0.02777080357485083,0.8712442835638803,0.0698677272138315,0.7120650952161011,1.5118371438446547,6,False,+
HbO,S15_D2,S7_D6,S15_D2--S7_D6,0.16711472747431122,3.2722570725614375,4.0,0.030723786156604316,0.8712442835638803,0.03220980013556965,0.39294632047943145,1.4633978508203673,6,False,+
HbO,S15_D2,S9_D9,S15_D2--S9_D9,0.056941414134357604,3.2310023983104537,4.0,0.03194515810567604,0.8712442835638803,0.02595698783940925,0.34304859729927834,1.4449481996174052,6,False,+
HbO,S1_D1,S2_D4,S1_D1--S2_D4,0.22919754121521763,2.9838510322146172,5.0,0.030663604050938438,0.8712442835638803,0.0671681407411241,0.9027552299902624,1.2181520829004506,6,False,+
HbO,S1_D16,S2_D4,S1_D16--S2_D4,0.12138077055253704,3.201632500399692,4.0,0.03284965521699419,0.8712442835638803,0.05027314561132418,0.7068336675392126,1.4318135819732665,6,False,+
