chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S10_D11,S14_D15,S10_D11--S14_D15,0.08918901024904125,6.078990485076911,5.0,0.0017410456619949808,0.27227923171130713,0.07540656654411608,0.18590609474298347,2.4817374732787383,6,False,+
HbO,S11_D10,S4_D5,S11_D10--S4_D5,-0.13685783354829073,-6.318610271996529,5.0,0.001462788784508257,0.27227923171130713,-0.3579464619869236,-0.15092412245985098,-2.5795618416499875,6,False,-
HbO,S13_D13,S7_D8,S13_D13--S7_D8,-0.2631457748030461,-7.137994141890986,5.0,0.0008378658334824336,0.27227923171130713,-0.5132497093310826,-0.24145899913711913,-2.9140739057680642,6,False,-
HbO,S13_D15,S4_D14,S13_D15--S4_D14,-0.3145993420819394,-7.906260382685442,5.0,0.0005208922984113881,0.27227923171130713,-0.5351584649217634,-0.2725471550541493,-3.227717285193499,6,False,-
HbO,S13_D15,S4_D3,S13_D15--S4_D3,-0.28655901436016296,-6.284819331173936,5.0,0.0014986669450789574,0.27227923171130713,-0.517159844497076,-0.21691332209959546,-2.5657667478259985,6,False,-
HbO,S16_D16,S8_D9,S16_D16--S8_D9,-0.21180283678154077,-6.81089935312456,5.0,0.001039593225314664,0.27227923171130713,-0.4279221485988702,-0.19341570337515795,-2.7805380174345324,6,False,-
HbO,S4_D2,S8_D9,S4_D2--S8_D9,-0.20238097630319352,-5.995577556679308,5.0,0.0018522396715054909,0.27227923171130713,-0.5286275916870082,-0.21136044248457944,-2.4476842878578324,6,False,-
HbO,S7_D8,S9_D7,S7_D8--S9_D7,-0.17081534864057568,-7.4738439120021845,5.0,0.0006771604169058549,0.27227923171130713,-0.3176025921426634,-0.15504009731713592,-3.051184000268642,6,False,-
HbO,S12_D13,S12_D14,S12_D13--S12_D14,-0.10164319642873088,-5.371732938110703,5.0,0.003010476421386624,0.39336891906118554,-0.590230188748081,-0.20816650951563204,-2.1930007888121184,6,False,-
HbO,S11_D10,S4_D2,S11_D10--S4_D2,-0.19045286367672798,-5.238818018173602,5.0,0.003357126660114738,0.39479809522949316,-0.49241944047161346,-0.1682448578183798,-2.138738499970656,6,False,-
HbO,S11_D10,S13_D12,S11_D10--S13_D12,-0.1801049173882988,-4.779783018867162,5.0,0.004971590683667876,0.43957629445543844,-0.4340810742909328,-0.1304659621561637,-1.9513382462407216,6,False,-
HbO,S12_D11,S9_D7,S12_D11--S9_D7,-0.09611076656218409,-4.716749968118084,5.0,0.005257844841693622,0.43957629445543844,-0.366552669472983,-0.10795222164767404,-1.9256051110296881,6,False,-
HbO,S13_D12,S5_D4,S13_D12--S5_D4,-0.28041580999172644,-4.573895364627052,5.0,0.005980629856536577,0.43957629445543844,-0.5759093100503405,-0.16148514159343091,-1.8672849633695816,6,False,-
HbO,S13_D13,S7_D4,S13_D13--S7_D4,-0.1576912163458427,-4.590901778845411,5.0,0.0058887850675954975,0.43957629445543844,-0.4093425099889949,-0.11547926114942109,-1.8742278029011468,6,False,-
HbO,S13_D15,S14_D14,S13_D15--S14_D14,-0.34993145967919653,-4.697505865669688,5.0,0.0053490316005248605,0.43957629445543844,-0.8154547232841516,-0.23863364307582885,-1.9177487391036192,6,False,-
HbO,S13_D15,S6_D5,S13_D15--S6_D5,-0.29976432099926836,-4.69919096007343,5.0,0.005340973774282144,0.43957629445543844,-0.6070876331701527,-0.1777568999214862,-1.918436676013217,6,False,-
HbO,S4_D2,S9_D9,S4_D2--S9_D9,-0.22804475451139028,-4.4881325038324364,5.0,0.006469942204861261,0.4475677666421672,-0.6356262545384129,-0.17267245712125878,-1.8322724220648894,6,False,-
HbO,S11_D10,S11_D13,S11_D10--S11_D13,-0.0496033352542824,-3.3291667903960716,5.0,0.02079796593751604,0.5470825050334046,-0.2744487594374312,-0.035288401753775414,-1.3591266508482622,6,False,-
HbO,S11_D10,S12_D5,S11_D10--S12_D5,-0.10050930576932904,-3.1907267074347962,5.0,0.024245264972835894,0.5470825050334046,-0.3148944842286144,-0.033895112211419165,-1.302608723647646,6,False,-
HbO,S11_D10,S2_D1,S11_D10--S2_D1,-0.13305936507976268,-3.6345621222348585,5.0,0.01498866560175959,0.5470825050334046,-0.3058979944102597,-0.05245155277174396,-1.483803772987091,6,False,-
HbO,S11_D10,S2_D2,S11_D10--S2_D2,-0.16199508076070807,-3.27094142208813,5.0,0.0221754575851279,0.5470825050334046,-0.40781877625722773,-0.048894744895368325,-1.335356243774916,6,False,-
HbO,S11_D10,S7_D8,S11_D10--S7_D8,-0.3017784262809653,-3.3078996562352248,5.0,0.021289559256863263,0.5470825050334046,-0.7123951576070395,-0.08935328719471936,-1.3504443796840309,6,False,-
HbO,S11_D10,S8_D6,S11_D10--S8_D6,-0.13933912722887687,-3.4521737935491172,5.0,0.018194976677246524,0.5470825050334046,-0.4756397146149376,-0.06962264004810406,-1.409344049600576,6,False,-
HbO,S11_D12,S2_D2,S11_D12--S2_D2,-0.15062725627130324,-3.9745528748760814,5.0,0.010588016948410309,0.5470825050334046,-0.33497398829395947,-0.07185394942414292,-1.6226044165263924,6,False,-
HbO,S11_D12,S8_D8,S11_D12--S8_D8,-0.19897711914458005,-3.0766012947365793,5.0,0.027575962048591765,0.5470825050334046,-0.6918766791599797,-0.06199605269919817,-1.2560172190151162,6,False,-
HbO,S11_D12,S8_D9,S11_D12--S8_D9,-0.16553406763850476,-3.2535235371805054,5.0,0.022607362756537734,0.5470825050334046,-0.6100426799987644,-0.07153434892120358,-1.328245422037882,6,False,-
HbO,S11_D13,S13_D15,S11_D13--S13_D15,-0.08878789017940858,-3.4348713251791683,5.0,0.018537732215272815,0.5470825050334046,-0.271144590819814,-0.03902243739424004,-1.4022803464677391,6,False,-
HbO,S11_D13,S8_D8,S11_D13--S8_D8,-0.15563337935796717,-3.0817235863484336,5.0,0.02741588774351668,0.5470825050334046,-0.6225468692862892,-0.05629732877308086,-1.258108385808913,6,False,-
HbO,S12_D13,S13_D15,S12_D13--S13_D15,-0.16390950188461417,-3.215810525667231,5.0,0.02357546654081689,0.5470825050334046,-0.45877754560308315,-0.05115733885325238,-1.3128491495593437,6,False,-
HbO,S12_D14,S8_D9,S12_D14--S8_D9,-0.18452067691081742,-3.51806454373878,5.0,0.01695408481091149,0.5470825050334046,-0.5599167582496068,-0.087131262576747,-1.4362438357228873,6,False,-
HbO,S12_D5,S16_D16,S12_D5--S16_D16,-0.16459244442197685,-3.627617685618037,5.0,0.015098259325764713,0.5470825050334046,-0.4562625161818567,-0.07781063435490804,-1.480968718610039,6,False,-
HbO,S13_D12,S6_D3,S13_D12--S6_D3,-0.19470900056331902,-3.7744533625312386,5.0,0.012963485491670212,0.5470825050334046,-0.40353991125213967,-0.07656540806305656,-1.5409141326889577,6,False,-
HbO,S13_D12,S7_D4,S13_D12--S7_D4,-0.1758682311075761,-3.2268299568741297,5.0,0.02328783924501132,0.5470825050334046,-0.5614164204779404,-0.06355050915076843,-1.3173478135114443,6,False,-
HbO,S13_D12,S8_D8,S13_D12--S8_D8,-0.22313607540164881,-3.141614607606526,5.0,0.025619705780293857,0.5470825050334046,-0.5929281260384087,-0.05927341518363499,-1.2825587928516644,6,False,-
HbO,S13_D13,S13_D15,S13_D13--S13_D15,-0.14828944873957794,-3.23246442711754,5.0,0.023142300800720973,0.5470825050334046,-0.759251030597827,-0.08659848930420233,-1.319648076355986,6,False,-
HbO,S13_D13,S16_D15,S13_D13--S16_D15,-0.1418586283234199,-3.2118941041636027,5.0,0.023678655997653945,0.5470825050334046,-0.46494054119266515,-0.05156477541917634,-1.3112502771757517,6,False,-
HbO,S13_D13,S8_D9,S13_D13--S8_D9,-0.16275558498018267,-3.068117170405819,5.0,0.02784340830714745,0.5470825050334046,-0.43807278750107675,-0.03865371972315024,-1.2525535897610005,6,False,-
HbO,S13_D15,S14_D13,S13_D15--S14_D13,-0.12855641164308074,-3.8089242822902714,5.0,0.01251380253484437,0.5470825050334046,-0.384758460117657,-0.07468646068604515,-1.5549868267512998,6,False,-
HbO,S13_D15,S14_D15,S13_D15--S14_D15,-0.1320237556936461,-3.4714238050904935,5.0,0.017822076995065057,0.5470825050334046,-0.4269779141800722,-0.06366091791287115,-1.4172028339037526,6,False,-
HbO,S13_D15,S1_D16,S13_D15--S1_D16,-0.17880417791087866,-3.430489778297092,5.0,0.018625689164578733,0.5470825050334046,-0.4015850868735341,-0.05754409013464948,-1.4004915874435444,6,False,-
HbO,S13_D15,S2_D2,S13_D15--S2_D2,-0.2531241166786588,-3.5467739351007452,5.0,0.01644375864468171,0.5470825050334046,-0.5425540589973243,-0.08657939897154823,-1.4479643956666677,6,False,-
HbO,S13_D15,S4_D2,S13_D15--S4_D2,-0.22419267835117523,-3.388746112901008,5.0,0.019487859363618458,0.5470825050334046,-0.5087147706085283,-0.06984214599751262,-1.3834498074078976,6,False,-
HbO,S13_D15,S5_D3,S13_D15--S5_D3,-0.31416505574749626,-3.107168376104846,5.0,0.02663603196157939,0.5470825050334046,-0.7186250639823816,-0.067915023133438,-1.2684961777281807,6,False,-
HbO,S13_D15,S7_D8,S13_D15--S7_D8,-0.2856572199476318,-3.4344115669681194,5.0,0.018546939396076233,0.5470825050334046,-0.7469819590142954,-0.10745477666722592,-1.4020926509640521,6,False,-
HbO,S13_D15,S9_D7,S13_D15--S9_D7,-0.29512439378832644,-3.1029983043785845,5.0,0.026762115224562944,0.5470825050334046,-0.6218886770366616,-0.058358878381471524,-1.2667937530748228,6,False,-
HbO,S16_D16,S5_D6,S16_D16--S5_D6,-0.2274545260434328,-3.2248429638886456,5.0,0.02333940945230235,0.5470825050334046,-0.6126327289875466,-0.0691617602396552,-1.316536627021957,6,False,-
HbO,S2_D4,S7_D4,S2_D4--S7_D4,-0.11740097787946502,-3.776723831778951,5.0,0.012933303049431485,0.5470825050334046,-0.42646643924458083,-0.08103896507756583,-1.541841047877887,6,False,-
HbO,S2_D4,S8_D9,S2_D4--S8_D9,-0.1856877251086959,-3.444212807773205,5.0,0.018351778387467686,0.5470825050334046,-0.5108876414593464,-0.074204905291305,-1.4060939907671526,6,False,-
HbO,S3_D4,S8_D9,S3_D4--S8_D9,-0.2077700765578745,-3.5342152545020182,5.0,0.016664812249764495,0.5470825050334046,-0.5425795559253606,-0.0856454006190635,-1.4428373357817557,6,False,-
HbO,S4_D2,S9_D7,S4_D2--S9_D7,-0.22211667067507046,-3.263739909686644,5.0,0.022352890309426447,0.5470825050334046,-0.8338297977539141,-0.09906478969217103,-1.332416238648255,6,False,-
HbO,S6_D3,S7_D4,S6_D3--S7_D4,-0.1531928782559322,-3.099258491897899,5.0,0.02687576004105177,0.5470825050334046,-0.4648118486384095,-0.04334075736411247,-1.2652669810229276,6,False,-
HbO,S6_D3,S7_D6,S6_D3--S7_D6,-0.09189384876709783,-3.1800697920603933,5.0,0.024536302858583145,0.5470825050334046,-0.38610539401999794,-0.040921725536661846,-1.2982580561644281,6,False,-
HbO,S6_D5,S7_D8,S6_D5--S7_D8,-0.20851516711380552,-3.133034976944373,5.0,0.02586870424460977,0.5470825050334046,-0.5369323333657843,-0.05294873191784549,-1.2790561733010288,6,False,-
HbO,S7_D4,S8_D8,S7_D4--S8_D8,-0.23820141741513967,-3.8458074526061643,5.0,0.012052340469213257,0.5470825050334046,-0.7115466015371995,-0.1414163656826093,-1.5700443179796506,6,False,-
HbO,S7_D4,S8_D9,S7_D4--S8_D9,-0.2623148944741722,-4.104607701386264,5.0,0.009312783965373049,0.5470825050334046,-0.5901818138370892,-0.1356297319948676,-1.675699077115749,6,False,-
HbO,S7_D4,S9_D7,S7_D4--S9_D7,-0.1862452365791794,-3.3667991740899064,5.0,0.019959258063546172,0.5470825050334046,-0.41679033387856546,-0.055892604801738605,-1.3744900071573505,6,False,-
