chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S11_D10,S16_D15,S11_D10--S16_D15,-0.13460229907152788,-9.09488412983558,4.0,0.0008104876193919694,0.476566720202478,-0.3629795469124089,-0.1931935412580827,-4.067355832359275,6,False,-
HbO,S6_D5,S8_D9,S6_D5--S8_D9,-0.12805114292583486,-10.28883526662711,4.0,0.0005032913600295978,0.476566720202478,-0.3053290318787612,-0.17556078015984894,-4.601307013095078,6,False,-
HbO,S11_D10,S2_D4,S11_D10--S2_D4,-0.4068793272406391,-5.784792861736667,5.0,0.00217261368873969,0.6387484244894689,-0.7118944662355434,-0.27385714293741215,-2.3616317964915527,6,False,-
HbO,S5_D4,S6_D3,S5_D4--S6_D3,0.1340954075340034,7.38471172370824,4.0,0.0017926953808349577,0.6387484244894689,0.18627427911549266,0.41073191288045463,3.3025434816902535,6,False,+
HbO,S10_D10,S11_D13,S10_D10--S11_D13,0.07664703363096281,3.5853192570423134,4.0,0.02305790714377037,0.905548107891041,0.049043217236016984,0.3857230335648889,1.6034035159571307,6,False,+
HbO,S10_D10,S9_D7,S10_D10--S9_D7,-0.07776796193509183,-3.64049725745306,4.0,0.0219550002173468,0.905548107891041,-0.4272867496104352,-0.057534884180966,-1.628079867913319,6,False,-
HbO,S10_D11,S6_D5,S10_D11--S6_D5,-0.19938710043829255,-3.7742427052214764,5.0,0.012966289950424101,0.905548107891041,-0.6455805159989998,-0.12247147265786157,-1.5408281322023734,6,False,-
HbO,S10_D11,S6_D7,S10_D11--S6_D7,0.09836681292498473,3.7417011340220205,5.0,0.013407980294655966,0.905548107891041,0.0656605072544488,0.3539073280516297,1.5275430913911878,6,False,+
HbO,S11_D10,S11_D13,S11_D10--S11_D13,-0.09498177919117312,-4.167242498210679,4.0,0.014062510723725179,0.905548107891041,-0.6175224763927811,-0.12368768575826353,-1.8636475009450246,6,False,-
HbO,S11_D10,S3_D4,S11_D10--S3_D4,-0.16779980291343433,-3.5201545428382253,5.0,0.016916330976906976,0.905548107891041,-0.3462330196859622,-0.053979257251688006,-1.437097074282307,6,False,-
HbO,S11_D10,S4_D5,S11_D10--S4_D5,-0.2596263763980309,-3.5376328865038253,5.0,0.016604322754014685,0.905548107891041,-0.7422774073324929,-0.11751717636812148,-1.444232578203928,6,False,-
HbO,S11_D10,S5_D4,S11_D10--S5_D4,-0.13131405500186621,-4.3007373129345,4.0,0.012638244370020079,0.905548107891041,-0.40092598399964297,-0.08635192894336968,-1.9233481970182658,6,False,-
