handwriting  sub1   1 run(s), 49 channels
handwriting  sub2   2 run(s), 49 channels
handwriting  sub3   4 run(s), 25 channels
handwriting  sub4   2 run(s), 45 channels
handwriting  sub5   3 run(s), 49 channels
handwriting  sub6   2 run(s), 49 channels
ipad         sub1   1 run(s), 49 channels
ipad         sub2   1 run(s), 49 channels
ipad         sub3   3 run(s), 25 channels
ipad         sub4   2 run(s), 28 channels
ipad         sub5   3 run(s), 49 channels
ipad         sub6   2 run(s), 49 channels
keyboard     sub1   1 run(s), 49 channels
keyboard     sub2   1 run(s), 49 channels
keyboard     sub3   4 run(s), 25 channels
keyboard     sub4   2 run(s), 45 channels
keyboard     sub5   3 run(s), 49 channels
keyboard     sub6   2 run(s), 49 channels
remarkable   sub1   1 run(s), 49 channels
remarkable   sub2   1 run(s), 49 channels
remarkable   sub3   3 run(s), 25 channels
remarkable   sub4   2 run(s), 28 channels
remarkable   sub5   3 run(s), 49 channels
remarkable   sub6   2 run(s), 49 channels
