chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S10_D10,S12_D14,S10_D10--S12_D14,0.7971259618389771,17.49211492361475,4.0,6.271597529659258e-05,0.015748796279534013,0.7247414018377635,0.8521078008201687,7.822711607888223,5,True,+
HbO,S11_D11,S12_D14,S11_D11--S12_D14,0.7550497230671014,17.479960171273238,4.0,6.288871373232121e-05,0.015748796279534013,0.679513158987391,0.8147465877061063,7.817275837391165,5,True,+
HbO,S12_D14,S8_D6,S12_D14--S8_D6,0.781994450735015,20.465972256155357,4.0,3.366206620806373e-05,0.015748796279534013,0.7201582836652788,0.8315051958693457,9.152661038077623,5,True,+
HbO,S13_D13,S1_D16,S13_D13--S1_D16,0.7581984341367168,19.639338117298653,4.0,3.9643718198910337e-05,0.015748796279534013,0.6919712635375465,0.8117706241620143,8.782979012676506,5,True,+
HbO,S1_D1,S1_D16,S1_D1--S1_D16,0.9142909320844993,17.20504268878644,4.0,6.695916785516162e-05,0.015748796279534013,0.8623516849385039,0.9471875587977356,7.694329001582448,5,True,+
HbO,S10_D11,S14_D14,S10_D11--S14_D14,0.6476029235964064,10.660604153705044,5.0,0.00012568950029738897,0.016316298524192176,0.5264419792975401,0.7429840875294694,4.352173421062042,6,True,+
HbO,S11_D10,S9_D7,S11_D10--S9_D7,0.7573337903779462,12.918654742553384,4.0,0.000207076058622854,0.016316298524192176,0.6510846190543941,0.8344723738958043,5.777398036439882,5,True,+
HbO,S11_D13,S8_D6,S11_D13--S8_D6,0.8782153010179301,12.395755915841622,4.0,0.0002434711092594135,0.016316298524192176,0.7862455649243679,0.9321180374946058,5.543550572063406,5,True,+
HbO,S11_D13,S9_D7,S11_D13--S9_D7,0.776896734048838,12.846355082073874,4.0,0.00021168396608571915,0.016316298524192176,0.6713868215126348,0.8515390134117434,5.745064645323414,5,True,+
HbO,S12_D14,S13_D13,S12_D14--S13_D13,0.7476613976728763,14.607544434471956,4.0,0.00012775975780657427,0.016316298524192176,0.6548333310674386,0.8182662131236373,6.532692467965603,5,True,+
HbO,S12_D14,S4_D5,S12_D14--S4_D5,0.8899037605898567,12.82875595349826,4.0,0.0002128248830962298,0.016316298524192176,0.8054103236040623,0.9389496376540086,5.737194075755448,5,True,+
HbO,S14_D13,S15_D16,S14_D13--S15_D16,0.7538367311668817,14.20028475873297,4.0,0.00014280374635075498,0.016316298524192176,0.658309571571201,0.8254679520061892,6.350560404076224,5,True,+
HbO,S14_D14,S1_D2,S14_D14--S1_D2,0.6971838017004522,10.096136437371129,5.0,0.00016327831383514845,0.016316298524192176,0.5665155448252788,0.7936521908002812,4.12173044084668,6,True,+
HbO,S16_D15,S1_D1,S16_D15--S1_D1,0.6679089899515105,12.291400220770477,4.0,0.0002516637272821817,0.016316298524192176,0.5543770850889204,0.7570374055559737,5.496881286459741,5,True,+
HbO,S16_D15,S2_D4,S16_D15--S2_D4,0.7824860257715709,12.30977099367557,4.0,0.0002501968953007048,0.016316298524192176,0.6720818120783052,0.858856784311764,5.505096945862741,5,True,+
HbO,S16_D15,S5_D3,S16_D15--S5_D3,0.685801000881922,15.849519734199594,4.0,9.260796200565736e-05,0.016316298524192176,0.5998034679717626,0.7561356323752058,7.088120707278938,5,True,+
HbO,S6_D6,S8_D6,S6_D6--S8_D6,0.8861240997786374,12.523189269714608,4.0,0.00023391176303542505,0.016316298524192176,0.7977539433454561,0.9372296692383866,5.600540500435562,5,True,+
HbO,S8_D7,S8_D8,S8_D7--S8_D8,0.8727604940884081,12.146536261189864,4.0,0.0002636136666323566,0.016316298524192176,0.776785108988764,0.9291157894171447,5.432096154237335,5,True,+
HbO,S8_D7,S8_D9,S8_D7--S8_D9,0.9190362070119666,13.061658909760668,4.0,0.00019832392497376303,0.016316298524192176,0.8472551366843452,0.9578540415537353,5.8413514442281285,5,True,+
HbO,S12_D14,S4_D2,S12_D14--S4_D2,0.8812021763216589,11.705571365298407,4.0,0.00030460738525956576,0.017058013574535683,0.7831762401609793,0.9364890700200897,5.234890657656451,5,True,+
HbO,S15_D15,S16_D15,S15_D15--S16_D15,0.7618904233575544,11.804496355244817,4.0,0.00029475705366080744,0.017058013574535683,0.6442100921824332,0.8443322061822033,5.279131258095183,5,True,+
HbO,S11_D11,S11_D13,S11_D11--S11_D13,0.9132550253696974,11.041176650749886,4.0,0.00038256520390311723,0.01914398228761415,0.8203324635102316,0.9591960762937057,4.9377643085320395,5,True,+
HbO,S11_D13,S9_D9,S11_D13--S9_D9,0.8163947085465663,11.22423036385117,4.0,0.00035882766786651116,0.01914398228761415,0.6975208696380826,0.8915363231960769,5.019628417737683,5,True,+
HbO,S12_D13,S12_D14,S12_D13--S12_D14,0.9038576687759345,10.867125893752489,4.0,0.0004069724125768315,0.01914398228761415,0.8045854314438635,0.9539847257178387,4.859926443695744,5,True,+
HbO,S12_D13,S9_D7,S12_D13--S9_D7,0.7082174021991732,10.870918109465876,4.0,0.0004064203372834893,0.01914398228761415,0.5769817116683985,0.803804326168299,4.86162237411984,5,True,+
HbO,S10_D11,S14_D13,S10_D11--S14_D13,0.6732825813776554,8.026482783856192,5.0,0.00048532612897453223,0.020672378130338266,0.504375692142129,0.7925638937928562,3.276797874946919,6,True,+
HbO,S11_D11,S6_D6,S11_D11--S6_D6,0.8130398131889345,10.215198906282849,4.0,0.0005175057801951898,0.020672378130338266,0.6789648049644388,0.8946346059014523,4.56837583162599,5,True,+
HbO,S11_D13,S16_D15,S11_D13--S16_D15,0.7937887997773352,10.04499637011805,4.0,0.0005523181063346686,0.020672378130338266,0.6542189586690621,0.8810732868805086,4.492258943464519,5,True,+
HbO,S11_D13,S8_D9,S11_D13--S8_D9,0.8287364516447359,9.997657090737937,4.0,0.0005625136906214494,0.020672378130338266,0.6938052427555936,0.9074560779293376,4.471088174124562,5,True,+
HbO,S6_D6,S8_D7,S6_D6--S8_D7,0.8554817458808637,10.082905062285796,4.0,0.0005443186508965539,0.020672378130338266,0.7281684786239156,0.925729954506279,4.509212225989558,5,True,+
HbO,S8_D7,S9_D9,S8_D7--S9_D9,0.9353370755559536,10.032459566759053,4.0,0.000554995693907851,0.020672378130338266,0.8423224728902562,0.9742489339473086,4.486652314558267,5,True,+
