chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S14_D14,S9_D9,S14_D14--S9_D9,0.5903253233602882,16.560830812338445,5.0,1.4658012303468522e-05,0.0015390912918641947,0.5174859018532262,0.6546712943299625,6.7609308677984385,6,True,+
HbO,S1_D1,S3_D1,S1_D1--S3_D1,0.7134394642819113,14.143903505258852,5.0,3.18034609295424e-05,0.001669681698800976,0.6240714357792592,0.7843829513539813,5.774224426507767,6,True,+
HbO,S2_D1,S2_D4,S2_D1--S2_D4,0.8751534644692651,11.354096751812577,5.0,9.270587029653043e-05,0.0032447054603785648,0.7810193688932616,0.9304030369791487,4.635290588688785,6,True,+
HbO,S6_D5,S8_D6,S6_D5--S8_D6,0.7792815139943298,10.006112586299137,5.0,0.00017044734214453336,0.004474242731294001,0.6500886350086131,0.864685916868084,4.084978357545566,6,True,+
HbO,S11_D11,S6_D5,S11_D11--S6_D5,0.5600840897027406,7.1143627033765675,5.0,0.0008507863187770103,0.006235481592244224,0.38358324598704024,0.697110449504272,2.904426411393351,6,True,+
HbO,S15_D15,S2_D1,S15_D15--S2_D1,0.657585455029843,7.215303380793774,5.0,0.0007971902944978121,0.006235481592244224,0.468083509319308,0.7892659312516611,2.9456352703871898,6,True,+
HbO,S15_D15,S3_D1,S15_D15--S3_D1,0.5314730526481141,6.945711538286825,5.0,0.0009501686235800723,0.006235481592244224,0.3566360215367514,0.6703427514277164,2.8355748615607244,6,True,+
HbO,S15_D15,S6_D5,S15_D15--S6_D5,0.49005892809774676,8.186849885088744,5.0,0.0004422682560316781,0.006235481592244224,0.35206276231062905,0.6072033045082036,3.342267469871753,6,True,+
HbO,S1_D1,S2_D2,S1_D1--S2_D2,0.6916334550702533,7.123618877815362,5.0,0.0008456976044932155,0.006235481592244224,0.4959835673882307,0.8204509591302243,2.908205228784224,6,True,+
HbO,S2_D1,S2_D2,S2_D1--S2_D2,0.8934493754423778,8.288205930827623,5.0,0.0004173905216651995,0.006235481592244224,0.7584410822206608,0.9549347670843179,3.3836459022728276,6,True,+
HbO,S2_D1,S6_D5,S2_D1--S6_D5,0.6932876240000285,7.275786744210931,5.0,0.0007669909947525373,0.006235481592244224,0.5023493037662733,0.8197560832308196,2.970327500103749,6,True,+
HbO,S2_D4,S3_D4,S2_D4--S3_D4,0.7866449425389194,7.3176905222214765,5.0,0.0007468616312451629,0.006235481592244224,0.5975360121118979,0.8928553634210751,2.987434645840531,6,True,+
HbO,S2_D4,S6_D5,S2_D4--S6_D5,0.6486188577247483,7.575627016980706,5.0,0.000635868442663415,0.006235481592244224,0.4704473468467176,0.7759763439144276,3.0927367788742277,6,True,+
HbO,S5_D3,S7_D8,S5_D3--S7_D8,0.35710978880938415,7.687668278625399,5.0,0.0005938179243718573,0.006235481592244224,0.24365505680656055,0.4609228039579575,3.138477432402088,6,True,+
HbO,S6_D5,S8_D8,S6_D5--S8_D8,0.5765792031041066,7.00989741512508,5.0,0.0009108053523903844,0.006235481592244224,0.393790064949156,0.7155025004249568,2.8617786360518664,6,True,+
HbO,S8_D8,S9_D9,S8_D8--S9_D9,0.7550083276369345,8.208708566875798,5.0,0.0004367573095335731,0.006235481592244224,0.5890450486667475,0.859858675312192,3.351191239343111,6,True,+
HbO,S1_D1,S9_D9,S1_D1--S9_D9,0.39632009495239817,6.746046521591934,5.0,0.001086139495170426,0.006708508646640867,0.25383777994090684,0.5219679078175239,2.754061959829597,6,True,+
HbO,S15_D15,S2_D4,S15_D15--S2_D4,0.675574101273415,6.439175793575576,5.0,0.0013427733248450111,0.0074205894267750615,0.4567564320136335,0.8173060451133092,2.628782509723518,6,True,+
HbO,S2_D1,S8_D6,S2_D1--S8_D6,0.7684214226278839,6.442032363875482,5.0,0.0013400738341554225,0.0074205894267750615,0.544732318930531,0.890028537206393,2.6299486996650443,6,True,+
HbO,S14_D14,S2_D2,S14_D14--S2_D2,0.589146940224959,5.833266006801038,5.0,0.0020935142658348024,0.007692567941995771,0.36123313325781087,0.7506374227374333,2.3814208750974886,6,True,+
HbO,S14_D14,S6_D5,S14_D14--S6_D5,0.6708636420543272,5.979570617728851,5.0,0.0018745228322124355,0.007692567941995771,0.43261055052808617,0.821534605538465,2.441149482395749,6,True,+
HbO,S14_D14,S8_D8,S14_D14--S8_D8,0.580931199546303,5.959154136450466,5.0,0.0019034040557463477,0.007692567941995771,0.3605316193120228,0.739890508263971,2.4328144888165606,6,True,+
HbO,S1_D1,S3_D4,S1_D1--S3_D4,0.6042460801768327,5.92801765226051,5.0,0.0019484646372913237,0.007692567941995771,0.3768203470740072,0.7629632199489419,2.4201030723749564,6,True,+
HbO,S2_D1,S3_D4,S2_D1--S3_D4,0.7419688600613159,6.1448748677137495,5.0,0.0016587480015454008,0.007692567941995771,0.5045605920266698,0.8750610060857277,2.5086346598584948,6,True,+
HbO,S2_D2,S2_D4,S2_D2--S2_D4,0.8055494206838337,5.798226692504841,5.0,0.0021503453386226357,0.007692567941995771,0.5512972494265281,0.9228934566253432,2.3671161349370404,6,True,+
HbO,S2_D2,S6_D5,S2_D2--S6_D5,0.660561013891012,5.8717356177720825,5.0,0.0020331418508702844,0.007692567941995771,0.41884269474821795,0.814861089090017,2.397126028011227,6,True,+
HbO,S2_D2,S8_D6,S2_D2--S8_D6,0.7147072715182717,6.223158399275664,5.0,0.0015668473533225684,0.007692567941995771,0.48256826379038464,0.8530247263536102,2.5405937777901206,6,True,+
HbO,S2_D4,S8_D6,S2_D4--S8_D6,0.7300747169955171,5.769747145440222,5.0,0.0021978765548559347,0.007692567941995771,0.4738646372101175,0.8723269574243,2.3554894085347247,6,True,+
HbO,S3_D1,S8_D8,S3_D1--S8_D8,0.6194820187903998,6.2409315294775185,5.0,0.0015468266685114273,0.007692567941995771,0.40187881546297677,0.7708587316761667,2.5478496278112193,6,True,+
HbO,S3_D4,S6_D5,S3_D4--S6_D5,0.5486413340091927,5.966764311934486,5.0,0.0018925778626367894,0.007692567941995771,0.337142245562149,0.707422947692667,2.435921329948042,6,True,+
HbO,S2_D4,S5_D3,S2_D4--S5_D3,0.6787888811434919,5.5139262016487915,5.0,0.00268510686925145,0.009094716815206525,0.4147892717482616,0.8373822432809671,2.251050945567021,6,True,+
HbO,S2_D2,S3_D4,S2_D2--S3_D4,0.6918657032685039,5.42562818155528,5.0,0.0028819867850910863,0.009456519138580127,0.4203240275956127,0.8496703084074833,2.215003429812501,6,True,+
HbO,S11_D11,S8_D6,S11_D11--S8_D6,0.6373310588952478,5.309505998168754,5.0,0.0031672695274343613,0.009507328276004427,0.37030877983772714,0.8070644839272807,2.16759674696002,6,True,+
HbO,S1_D1,S8_D8,S1_D1--S8_D8,0.4786606529395857,5.24979088717956,5.0,0.003326799140452014,0.009507328276004427,0.2599133146475345,0.6506790130231734,2.1432181549838223,6,True,+
HbO,S2_D2,S5_D3,S2_D2--S5_D3,0.6225203143257234,5.26505068933866,5.0,0.003285154616924989,0.009507328276004427,0.35672890004273394,0.7950777214479995,2.149447943128092,6,True,+
HbO,S3_D1,S3_D4,S3_D1--S3_D4,0.837617236918055,5.3110972308224635,5.0,0.0031631426583790595,0.009507328276004427,0.5552743799089377,0.9468364373292516,2.168246364970628,6,True,+
HbO,S6_D5,S9_D9,S6_D5--S9_D9,0.6086608532842078,5.241313413924364,5.0,0.0033502013924967982,0.009507328276004427,0.34534464815903043,0.7831380311621186,2.1397572410199355,6,True,+
HbO,S5_D3,S8_D6,S5_D3--S8_D6,0.739077292041319,5.108872036909462,5.0,0.0037420469621540406,0.010339866605951955,0.4391877722275132,0.8907741036680504,2.0856882752669215,6,True,+
HbO,S2_D4,S3_D1,S2_D4--S3_D1,0.7097151308204609,5.037978563635797,5.0,0.003973724947938316,0.010698490244449313,0.40884639447513954,0.8714304062365538,2.0567461359979027,6,True,+
HbO,S14_D14,S3_D1,S14_D14--S3_D1,0.6097966722787809,4.9272775308608905,5.0,0.004369882095711298,0.011470940501242156,0.326512152539433,0.7925589066955008,2.0115526286149628,6,True,+
HbO,S14_D14,S2_D1,S14_D14--S2_D1,0.6193416447029111,4.891494077674692,5.0,0.004507670094102284,0.011544033167822923,0.330591996364317,0.8020667959505411,1.9969440950248036,6,True,+
HbO,S14_D14,S1_D1,S14_D14--S1_D1,0.556676618288544,4.778874062219814,5.0,0.004975587522551714,0.012438968806379284,0.2823166039923387,0.7468578811247296,1.950967166243336,6,True,+
HbO,S1_D1,S2_D4,S1_D1--S2_D4,0.6396918725071595,4.6421835093833606,5.0,0.005621600514382302,0.013727164046747483,0.32578605978587977,0.8265658255005662,1.8951634817252934,6,True,+
HbO,S3_D4,S5_D3,S3_D4--S5_D3,0.540161760151712,4.5700299234572075,5.0,0.006001737074999307,0.013754497479821963,0.2584305682597043,0.7372108299505313,1.8657069036201042,6,True,+
HbO,S3_D4,S7_D8,S3_D4--S7_D8,0.5498599472653001,4.570333722487245,5.0,0.00600007505161529,0.013754497479821963,0.2640762728858847,0.7468863684033128,1.8658309290547612,6,True,+
