chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S11_D11,S6_D3,S11_D11--S6_D3,0.6145609563004103,32.27440902473377,4.0,5.494695054531109e-06,0.0022301411583635793,0.5747612938850838,0.6514600701909277,14.433554502587482,5,True,+
HbO,S16_D16,S6_D6,S16_D16--S6_D6,0.5236340676110725,33.59234325253276,4.0,4.68412700460824e-06,0.0022301411583635793,0.4878887293629144,0.5576261945217073,15.022952607233924,5,True,+
HbO,S4_D14,S4_D2,S4_D14--S4_D2,0.8714798133776259,31.994140181537972,4.0,5.689135608070355e-06,0.0022301411583635793,0.8405321732660905,0.8967583935597429,14.308214465515274,5,True,+
HbO,S12_D13,S16_D16,S12_D13--S16_D16,0.5085724835135017,23.752630671648568,4.0,1.862901708827241e-05,0.0054769310239520886,0.4583734513808165,0.5555369084038939,10.622499365250535,5,True,+
HbO,S10_D10,S14_D13,S10_D10--S14_D13,0.6478528465412472,17.52101702264088,4.0,6.230760089824173e-05,0.006191588215693302,0.5712124833472962,0.7132943329235909,7.8356370195111955,5,True,+
HbO,S10_D10,S14_D14,S10_D10--S14_D14,0.6637612691869561,14.897983661273154,4.0,0.00011822458433031823,0.006191588215693302,0.5720119292954418,0.7391062139178456,6.662580838857594,5,True,+
HbO,S11_D11,S12_D11,S11_D11--S12_D11,0.8260615903624685,16.45685800307918,4.0,7.982666176323128e-05,0.006191588215693302,0.751881835920293,0.8795881847018365,7.359730638189298,5,True,+
HbO,S11_D13,S14_D14,S11_D13--S14_D14,0.7155986995968654,14.955554915338292,4.0,0.00011644106974205084,0.006191588215693302,0.6241348689690659,0.7877146647672199,6.688327486385506,5,True,+
HbO,S12_D11,S12_D14,S12_D11--S12_D14,0.7990328873297122,16.24587775477559,4.0,8.400157109055486e-05,0.006191588215693302,0.720476570687542,0.8573425868422425,7.265377402765976,5,True,+
HbO,S12_D11,S14_D13,S12_D11--S14_D13,0.7090558051007668,18.910297805002468,4.0,4.605792589298114e-05,0.006191588215693302,0.6383023620732777,0.7679293609051612,8.456942273350116,5,True,+
HbO,S12_D11,S14_D14,S12_D11--S14_D14,0.7466567470254969,19.20649705354112,4.0,4.3306232750782516e-05,0.006191588215693302,0.6782181894835537,0.8022545016356134,8.589406604273472,5,True,+
HbO,S12_D11,S4_D14,S12_D11--S4_D14,0.837888024319339,14.80759556518677,4.0,0.00012109398721168874,0.006191588215693302,0.7558264491063345,0.8940348551501336,6.622158053416407,5,True,+
HbO,S12_D11,S4_D5,S12_D11--S4_D5,0.8576800984885107,21.624630653543708,4.0,2.7051428000449967e-05,0.006191588215693302,0.8074235895404508,0.8955789289732725,9.670828825929885,5,True,+
