chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S12_D14,S14_D13,S12_D14--S14_D13,0.8722114172165639,33.43985177522388,5.0,4.496037470653606e-07,0.0005287340065488641,0.8451895958106456,0.8947855830304147,13.651762320600124,6,True,+
HbO,S10_D10,S12_D14,S10_D10--S12_D14,0.7736985078600038,13.15157218059128,5.0,4.538188353732542e-05,0.0019060078093482645,0.679539182096002,0.8427812891512924,5.36910685963849,6,True,+
HbO,S10_D10,S14_D14,S10_D10--S14_D14,0.730337706794489,15.07486609116096,5.0,2.3268894843170413e-05,0.0019060078093482645,0.6474872264599574,0.7961256389586745,6.15428831068812,6,True,+
HbO,S10_D10,S1_D1,S10_D10--S1_D1,0.6325240954754966,12.947020653812936,5.0,4.898787134076025e-05,0.0019060078093482645,0.5353209697861588,0.7131923285995247,5.285599048519458,6,True,+
HbO,S10_D10,S4_D14,S10_D10--S4_D14,0.7751874008410993,16.950195401066168,5.0,1.3072829149749581e-05,0.0019060078093482645,0.7046653862338091,0.8305436807457962,6.919888295513697,6,True,+
HbO,S10_D10,S4_D2,S10_D10--S4_D2,0.8035234480431426,18.920618904956168,5.0,7.598296740235351e-06,0.0019060078093482645,0.7433288200614536,0.85080930194519,7.724310322466604,6,True,+
HbO,S10_D10,S4_D5,S10_D10--S4_D5,0.8034777671988794,14.231304772440852,5.0,3.08585380574151e-05,0.0019060078093482645,0.7202425539667372,0.8639075029815373,5.809905844419194,6,True,+
HbO,S10_D11,S12_D14,S10_D11--S12_D14,0.7107583058891276,14.452822391491567,5.0,2.8610037656139785e-05,0.0019060078093482645,0.6234614517776862,0.7805519773869244,5.900340033704273,6,True,+
HbO,S10_D11,S4_D14,S10_D11--S4_D14,0.7230717860939633,14.50645639157451,5.0,2.8095436385117757e-05,0.0019060078093482645,0.6363883648066484,0.7917204939174426,5.922236022548873,6,True,+
HbO,S10_D11,S4_D2,S10_D11--S4_D2,0.7929531513065441,16.271166433477187,5.0,1.5987978327191663e-05,0.0019060078093482645,0.7205650591385152,0.8482429701255004,6.642675880320053,6,True,+
