chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S10_D10,S11_D10,S10_D10->S11_D10,-0.11081608713930949,-1.5374659213135022,4.0,0.19899674604661124,0.7817305840324985,-0.33788033132166606,0.09704110598915637,-0.6875756626292667,6,False,-
HbO,S10_D10,S12_D11,S10_D10->S12_D11,0.0527383959896683,1.9193271238865925,4.0,0.12737013825002755,0.7817305840324985,-0.03229961796794738,0.17695539280589762,0.8583491840139161,6,False,+
HbO,S10_D10,S13_D12,S10_D10->S13_D12,0.0910734873757229,2.380012606787068,4.0,0.07598822412771546,0.7817305840324985,-0.014011881604689788,0.18225467197965178,1.0643739952164721,6,False,+
HbO,S10_D10,S13_D13,S10_D10->S13_D13,0.04360629488381354,2.436741874927482,4.0,0.07145908685064177,0.7817305840324985,-0.005107229644853863,0.07837706773608072,1.089744095191628,6,False,+
HbO,S10_D10,S15_D16,S10_D10->S15_D16,0.12232058998496398,1.8477133623556472,4.0,0.13835562579834687,0.7817305840324985,-0.06018455055642166,0.2996590794018724,0.8263225362323855,6,False,+
HbO,S10_D10,S16_D15,S10_D10->S16_D15,0.08697907646493871,1.9583707849694667,4.0,0.12178195068847145,0.7817305840324985,-0.046319338599755275,0.2680851054742151,0.8758100400682702,6,False,+
HbO,S10_D10,S4_D2,S10_D10->S4_D2,-0.07122872355590977,-1.3527778048812344,4.0,0.2475373274607772,0.7817305840324985,-0.1530125667617171,0.05275544396124461,-0.6049806260334775,6,False,-
HbO,S10_D10,S9_D9,S10_D10->S9_D9,-0.044531098424916565,-1.5077514724245626,4.0,0.20610383489292977,0.7817305840324985,-0.14251318323613543,0.04220291130017983,-0.6742869571033443,6,False,-
HbO,S10_D11,S12_D14,S10_D11->S12_D14,0.06177425818748425,1.5429586552278582,4.0,0.197710666556419,0.7817305840324985,-0.05293580336440498,0.1853697769593952,0.6900320879122305,6,False,+
HbO,S10_D11,S13_D13,S10_D11->S13_D13,0.10378011765415035,1.9463994431071086,4.0,0.12346648256636623,0.7817305840324985,-0.038497008349587,0.21904263140409067,0.8704562932310458,6,False,+
HbO,S10_D11,S2_D4,S10_D11->S2_D4,0.07499568913479587,1.4479526809083771,5.0,0.20729118410388486,0.7817305840324985,-0.05989592321230584,0.21440190985178204,0.5911242066534125,6,False,+
HbO,S10_D11,S4_D14,S10_D11->S4_D14,0.07755463793141423,2.4320127524946886,4.0,0.07182471167089596,0.7817305840324985,-0.010641530050629483,0.1609197288671872,1.087629167344899,6,False,+
HbO,S10_D11,S4_D5,S10_D11->S4_D5,0.09246936523997659,1.451242452173185,5.0,0.20641937752711725,0.7817305840324985,-0.07289177151402913,0.26190260200581916,0.5924672501482873,6,False,+
HbO,S10_D11,S5_D3,S10_D11->S5_D3,0.09281609920704562,1.8152057332631366,5.0,0.1292038442393279,0.7817305840324985,-0.03942711781920234,0.22891770426113467,0.7410546374448785,6,False,+
HbO,S10_D11,S6_D5,S10_D11->S6_D5,0.12128202750738201,2.5901340463072007,5.0,0.0488289304954528,0.7817305840324985,0.000944384586963859,0.24926595865008697,1.0574177964771632,6,False,+
HbO,S10_D11,S6_D7,S10_D11->S6_D7,0.07475225139277178,1.8271199488431182,5.0,0.12723821955956935,0.7817305840324985,-0.03131055731126356,0.1852071991944503,0.745918595587624,6,False,+
HbO,S10_D11,S8_D9,S10_D11->S8_D9,-0.04765125804393297,-1.5083909152992037,4.0,0.20594820124972896,0.7817305840324985,-0.11814654510389135,0.03496428353952631,-0.6745729246504294,6,False,-
HbO,S11_D10,S10_D10,S11_D10->S10_D10,-0.06730356994557869,-1.5517400944235655,4.0,0.19567222684252866,0.7817305840324985,-0.2556161152955503,0.07232923795970905,-0.693959266908607,6,False,-
