chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S10_D10,S10_D11,S10_D10->S10_D11,-0.02834763267429445,-0.7144780933963651,4.0,0.5144120888841612,0.9646766616051042,-0.10843306132919792,0.06404764090470061,-0.3195243170537432,6,False,-
HbO,S10_D10,S11_D10,S10_D10->S11_D10,-0.014988232615608471,-0.9194657726887561,4.0,0.4098821976636205,0.9646766616051042,-0.07960749787319012,0.03999811768940853,-0.41119759414328555,6,False,-
HbO,S10_D10,S11_D12,S10_D10->S11_D12,-0.0818663535536075,-2.394299262328399,4.0,0.07481768802996813,0.9646766616051042,-0.19631420138254052,0.014508676241222804,-1.0707631818087804,6,False,-
HbO,S10_D10,S12_D11,S10_D10->S12_D11,-0.07123903501521152,-3.4801489782783963,4.0,0.02534855619488983,0.9646766616051042,-0.12745707150358976,-0.014335600755284006,-1.5563699374513866,6,False,-
HbO,S10_D10,S12_D13,S10_D10->S12_D13,0.037558927446107004,-0.6840878486525783,4.0,0.5314952331789448,0.9646766616051042,-0.170034263828461,0.10280856461342266,-0.3059333864337506,6,False,+
HbO,S10_D10,S12_D14,S10_D10->S12_D14,-0.017722524723572483,-1.150629747931282,4.0,0.3139905614052498,0.9646766616051042,-0.19682906028564776,0.08148755013257822,-0.5145772666615588,6,False,-
HbO,S10_D10,S12_D5,S10_D10->S12_D5,-0.07615559103836883,-2.565609418752432,4.0,0.06226726832305043,0.9646766616051042,-0.21761679717206678,0.008588715560298596,-1.1473754128088323,6,False,-
HbO,S10_D10,S13_D12,S10_D10->S13_D12,-0.046982233196063636,-0.6998005728706883,4.0,0.5226122159858131,0.9646766616051042,-0.16652770692471403,0.09948055577542692,-0.31296033032643084,6,False,-
HbO,S10_D10,S13_D13,S10_D10->S13_D13,-0.01277549110746623,-0.8655566330241263,4.0,0.43555978176585797,0.9646766616051042,-0.12896424504796206,0.06766506632834415,-0.38708869396355716,6,False,-
HbO,S10_D10,S15_D15,S10_D10->S15_D15,0.02785131620470782,0.8108109825341907,4.0,0.46295845006426084,0.9646766616051042,-0.05908151410286309,0.10782297615525765,0.362605694769969,6,False,+
HbO,S10_D10,S15_D2,S10_D10->S15_D2,-0.03739891290920666,-1.134939539069377,4.0,0.31979731956428525,0.9646766616051042,-0.20149543849752508,0.08456235167971923,-0.5075603919422811,6,False,-
HbO,S10_D10,S1_D1,S10_D10->S1_D1,-0.04224143203853295,-0.6458237164054622,4.0,0.5535756394498231,0.9646766616051042,-0.16836090489621064,0.10481740731292088,-0.2888211462728319,6,False,-
HbO,S10_D10,S1_D16,S10_D10->S1_D16,-4.725827647517056e-05,-0.8571418617997815,4.0,0.4396842460588368,0.9646766616051042,-0.14563564282700622,0.07692645426433642,-0.3833254938690083,6,False,-
HbO,S10_D10,S2_D4,S10_D10->S2_D4,-0.026141454473813136,-0.9183319922262717,4.0,0.41040899769879247,0.9646766616051042,-0.1146847974774028,0.05767528606795076,-0.4106905521061504,6,False,-
HbO,S10_D10,S4_D14,S10_D10->S4_D14,-0.021430279295380383,-1.3049276099014007,4.0,0.2619245772468828,0.9646766616051042,-0.2229563767995341,0.08038575059186578,-0.5835813682911719,6,False,-
HbO,S10_D10,S4_D2,S10_D10->S4_D2,-0.015053816546967469,-2.427636383703542,4.0,0.07216495837756531,0.9646766616051042,-0.1666425110825981,0.011169379526680873,-1.0856719957225764,6,False,-
HbO,S10_D10,S4_D3,S10_D10->S4_D3,0.014510406382171853,-0.816815288968045,4.0,0.459888187951199,0.9646766616051042,-0.22446262552413948,0.12241352013355256,-0.3652909022387365,6,False,+
HbO,S10_D10,S4_D5,S10_D10->S4_D5,-0.03124798460745401,-0.8949553200038405,4.0,0.4213972161109901,0.9646766616051042,-0.2672244499235752,0.13694503858365373,-0.4002361864707329,6,False,-
HbO,S10_D10,S6_D3,S10_D10->S6_D3,0.06784384586301188,0.6128908284884067,4.0,0.5730815502461897,0.9646766616051042,-0.09055933376486724,0.1418665606701461,0.2740931110572484,6,False,+
HbO,S10_D10,S6_D7,S10_D10->S6_D7,0.0036809554993439686,-1.2111356598237595,4.0,0.2925031561492996,0.9646766616051042,-0.13061050588376302,0.05127065019429907,-0.5416363330679974,6,False,+
HbO,S10_D10,S7_D6,S10_D10->S7_D6,-0.02317286841695715,-0.9461222865977924,4.0,0.3976593568141756,0.9646766616051042,-0.06697689765991897,0.03293139685695676,-0.4231187495720404,6,False,-
HbO,S10_D10,S7_D8,S10_D10->S7_D8,0.00851501687938988,1.4272793450041357,4.0,0.22667085142706192,0.9646766616051042,-0.027948210635440816,0.08708090573743284,0.6382987276621244,6,False,+
HbO,S10_D10,S8_D7,S10_D10->S8_D7,0.013358277489257595,-1.7997781854565635,4.0,0.14627613099469933,0.9646766616051042,-0.09396597214276933,0.020054409661475765,-0.8048852734204198,6,False,+
HbO,S10_D10,S8_D8,S10_D10->S8_D8,-0.020409544667481933,-0.6243661107467736,4.0,0.5662326804657128,0.9646766616051042,-0.10187978462910119,0.06447089548267843,-0.27922501329538957,6,False,-
HbO,S10_D10,S8_D9,S10_D10->S8_D9,0.029266959157205036,-1.6123940785984405,4.0,0.18217067970557704,0.9646766616051042,-0.1347537941904613,0.03574072457352716,-0.7210845532528503,6,False,+
HbO,S10_D10,S9_D9,S10_D10->S9_D9,0.07796505732499386,-2.3577055381752983,4.0,0.0778575759021334,0.9646766616051042,-0.10535923094799834,0.008593062769970315,-1.0543979708575384,6,False,+
HbO,S10_D11,S10_D10,S10_D11->S10_D10,-0.05295707732170711,-1.6814667913947532,4.0,0.16796558896811736,0.9646766616051042,-0.1380736962697151,0.033914466375508295,-0.7519748094934252,6,False,-
HbO,S10_D11,S11_D10,S10_D11->S11_D10,-0.032650512030038284,-1.1443862183287061,5.0,0.30427324344420636,0.9646766616051042,-0.10686716827132253,0.04102686343694464,-0.46719371726309944,6,False,-
HbO,S10_D11,S11_D12,S10_D11->S11_D12,-0.06490025984373898,-1.622831490488223,5.0,0.16555266142800304,0.9646766616051042,-0.16893119897905595,0.03818001939881428,-0.6625181817027399,6,False,-
HbO,S10_D11,S11_D13,S10_D11->S11_D13,-0.03294825109480806,-4.452427869770634,4.0,0.011225663973237423,0.9646766616051042,-0.1375823618414646,-0.03189787231757589,-1.9911862763443438,6,False,-
HbO,S10_D11,S12_D11,S10_D11->S12_D11,-0.03400606793614078,-2.534240279233031,4.0,0.06437371275487996,0.9646766616051042,-0.15134128577199452,0.006902233351866807,-1.1333467071366212,6,False,-
HbO,S10_D11,S12_D14,S10_D11->S12_D14,0.0012743681587273348,-1.3691812601337043,4.0,0.2427857083064751,0.9646766616051042,-0.2083170801165672,0.07071478935220521,-0.6123164742355571,6,False,+
HbO,S10_D11,S12_D5,S10_D11->S12_D5,-0.038900968236485256,-0.9694087820458616,4.0,0.38723622111959083,0.9646766616051042,-0.37124586129050047,0.17909261182245423,-0.4335327869279648,6,False,-
HbO,S10_D11,S13_D13,S10_D11->S13_D13,-0.034828133859218346,-0.6317755182124695,4.0,0.5618400232721996,0.9646766616051042,-0.1869253542643311,0.11762534372731874,-0.28253860104864764,6,False,-
