chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S10_D10,S10_D11,S10_D10->S10_D11,-0.01911001614348251,-0.5986530939473916,4.0,0.5816559248037774,0.9817559654799765,-0.1398444187395554,0.09023502131762988,-0.2677258026013871,6,False,-
HbO,S10_D10,S11_D10,S10_D10->S11_D10,-0.09044460952090858,-1.8050402555146723,4.0,0.14538339830724675,0.9817559654799765,-0.25356493440204125,0.05376295842827318,-0.8072385426908794,6,False,-
HbO,S10_D10,S11_D12,S10_D10->S11_D12,0.05732852987192248,1.2172810806537901,4.0,0.29039966083920427,0.9817559654799765,-0.06997051859442854,0.17922623146074088,0.5443846488132557,6,False,+
HbO,S10_D10,S11_D13,S10_D10->S11_D13,-0.06961889799585347,-1.8707931505698192,4.0,0.13470747289314344,0.9817559654799765,-0.1680935243154027,0.032757999585584965,-0.8366441313030231,6,False,-
HbO,S10_D10,S12_D11,S10_D10->S12_D11,0.04136352626694802,1.381112371743944,4.0,0.23938619286654947,0.9817559654799765,-0.061334374484856596,0.18275296000679223,0.6176522295570837,6,False,+
HbO,S10_D10,S12_D13,S10_D10->S12_D13,-0.08101486779213748,-1.3460115829653894,4.0,0.2495238308676495,0.9817559654799765,-0.20256814928482167,0.07028825120360313,-0.6019546796025417,6,False,-
HbO,S10_D10,S12_D5,S10_D10->S12_D5,0.025013392205931656,0.5679569011317298,4.0,0.6004275272645241,0.9817559654799765,-0.12141279378949353,0.18386024901381273,0.253998047844135,6,False,+
HbO,S10_D10,S13_D12,S10_D10->S13_D12,0.04196174809633457,0.566933183597031,4.0,0.601060202747635,0.9817559654799765,-0.13231287484549514,0.2002125395937951,0.25354022744466603,6,False,+
HbO,S10_D10,S13_D13,S10_D10->S13_D13,-0.03068988586785336,-1.5122053163410571,4.0,0.2050222974532324,0.9817559654799765,-0.10985470728679805,0.03238377538250058,-0.6762787766550354,6,False,-
HbO,S10_D10,S13_D15,S10_D10->S13_D15,-0.01993271836995586,-0.6164507479227572,4.0,0.5709509277370128,0.9817559654799765,-0.18619667584155897,0.11853702163926899,-0.2756851554271745,6,False,-
HbO,S10_D10,S14_D13,S10_D10->S14_D13,-0.11120292467906029,-2.1873493116244207,4.0,0.09396976829331151,0.9817559654799765,-0.18819444652863698,0.022334639091452266,-0.978212350265915,6,False,-
HbO,S10_D10,S14_D14,S10_D10->S14_D14,-0.039017220107269796,-1.4624311210407734,4.0,0.21744369727143414,0.9817559654799765,-0.20224486188757712,0.06269411102385547,-0.6540190798116785,6,False,-
HbO,S10_D10,S14_D15,S10_D10->S14_D15,-0.05366743817108138,-0.4833292948467086,4.0,0.6541269616805059,0.9817559654799765,-0.21733633014514595,0.15288707550213101,-0.21615143175885587,6,False,-
HbO,S10_D10,S15_D15,S10_D10->S15_D15,-0.08258267650885007,-0.9167756415174102,4.0,0.41113306353645657,0.9817559654799765,-0.2938116781010952,0.14794474614691427,-0.4099945309097815,6,False,-
HbO,S10_D10,S15_D2,S10_D10->S15_D2,0.05424466948357137,1.0019392019463789,4.0,0.37306922535439513,0.9817559654799765,-0.08431875404029088,0.1795365439359971,0.44808083297479845,6,False,+
HbO,S10_D10,S16_D15,S10_D10->S16_D15,0.039658867810505566,1.0318508449101624,4.0,0.3604434155903884,0.9817559654799765,-0.10465909081889543,0.2284615975074152,0.46145772637194316,6,False,+
HbO,S10_D10,S16_D16,S10_D10->S16_D16,0.05987910671016758,0.8271814971647463,4.0,0.45462536299303696,0.9817559654799765,-0.2177935041499079,0.4026374176083512,0.3699268114780844,6,False,+
HbO,S10_D10,S1_D2,S10_D10->S1_D2,-0.06581516507277793,-0.5050462292529341,4.0,0.6400823853413982,0.9817559654799765,-0.2800343711577428,0.19383557384285813,-0.22586354007790066,6,False,-
HbO,S10_D10,S2_D2,S10_D10->S2_D2,0.04302125166405907,0.9382977798569573,4.0,0.4012148012202469,0.9817559654799765,-0.08888748659611323,0.17963421856955064,0.4196195237794578,6,False,+
HbO,S10_D10,S2_D4,S10_D10->S2_D4,-0.008298011042573494,1.9713640960036296,4.0,0.11998191051233281,0.9817559654799765,-0.0220931456863198,0.13029004432483698,0.8816208254133074,6,False,-
HbO,S10_D10,S4_D14,S10_D10->S4_D14,0.06324679528585182,1.010116786732537,4.0,0.3695795169393789,0.9817559654799765,-0.10468556860223749,0.2244194244978852,0.45173796006952205,6,False,+
HbO,S10_D10,S4_D2,S10_D10->S4_D2,0.0157352348006477,0.8698025407258424,4.0,0.4334906293775832,0.9817559654799765,-0.08309864997964667,0.15891717855970267,0.38898752161300254,6,False,+
HbO,S10_D10,S4_D5,S10_D10->S4_D5,0.06547999997655632,1.091332813009836,4.0,0.3364563721188359,0.9817559654799765,-0.10393103249006097,0.2385491782032172,0.48805887119321206,6,False,+
HbO,S10_D10,S5_D4,S10_D10->S5_D4,-0.06451735754891222,-0.9994695871036654,4.0,0.3741287462411496,0.9817559654799765,-0.21576297432628117,0.10153977362642282,-0.44697638764148856,6,False,-
HbO,S10_D10,S5_D6,S10_D10->S5_D6,-0.048061227352971025,-0.6282144428820958,4.0,0.5639482989426541,0.9817559654799765,-0.19949202535353106,0.1258730512404997,-0.28094603974630505,6,False,-
HbO,S10_D10,S6_D3,S10_D10->S6_D3,-0.044703104722837825,-0.6782460654355251,4.0,0.5348252685062309,0.9817559654799765,-0.3070523734380335,0.1864875797237476,-0.30332086155712096,6,False,-
HbO,S10_D10,S6_D6,S10_D10->S6_D6,-0.04598471472738225,-0.5946838506353144,4.0,0.5840613720628248,0.9817559654799765,-0.2723154373105874,0.17623985256198865,-0.26595070302837887,6,False,-
HbO,S10_D10,S7_D4,S10_D10->S7_D4,-0.0592506123983349,-1.5230711187737767,4.0,0.2024079185503236,0.9817559654799765,-0.15965440465247188,0.046541672873274764,-0.6811381112289642,6,False,-
HbO,S10_D10,S7_D6,S10_D10->S7_D6,-0.029020003069014574,-1.540319610073858,4.0,0.1983275122886834,0.9817559654799765,-0.15468722221481881,0.04429539985655826,-0.6888518710402233,6,False,-
HbO,S10_D10,S7_D8,S10_D10->S7_D8,-0.043076371536481,-1.05844793259562,4.0,0.349535073825648,0.9817559654799765,-0.2626324007894083,0.11765692485899039,-0.4733523055855844,6,False,-
HbO,S10_D10,S8_D6,S10_D10->S8_D6,-0.06026223873900338,-0.807991214114782,4.0,0.46440587188407284,0.9817559654799765,-0.300051552720556,0.16477839020210333,-0.361344655996648,6,False,-
HbO,S10_D10,S8_D9,S10_D10->S8_D9,0.016600836133810568,1.74980022908295,4.0,0.1550523855223419,0.9817559654799765,-0.027167547950380733,0.1197755816203998,0.782534451854836,6,False,+
HbO,S10_D10,S9_D9,S10_D10->S9_D9,-0.005744899480941923,-0.4808864300387203,4.0,0.6557178388577294,0.9817559654799765,-0.07556720838173,0.05325492934376369,-0.21505894940475506,6,False,-
HbO,S10_D11,S10_D10,S10_D11->S10_D10,-0.026679042191879346,-0.675691756791932,4.0,0.5362859803276423,0.9817559654799765,-0.2043420372267863,0.12434971036369197,-0.3021785400046031,6,False,-
HbO,S10_D11,S11_D10,S10_D11->S11_D10,-0.07259025268257505,-4.231085272394694,5.0,0.00823968681444189,0.9817559654799765,-0.1191727739543677,-0.029093867367546412,-1.727333329261962,6,False,-
HbO,S10_D11,S11_D11,S10_D11->S11_D11,-0.06083702683128479,-5.750868479473416,5.0,0.002230065320223422,0.9817559654799765,-0.08877566816479775,-0.03392822898306255,-2.3477822254275376,6,False,-
HbO,S10_D11,S11_D12,S10_D11->S11_D12,-0.012320420598546586,-0.4386586409145742,5.0,0.6792151870769119,0.9817559654799765,-0.08579182580513174,0.060779982449632744,-0.1790816402505765,6,False,-
HbO,S10_D11,S11_D13,S10_D11->S11_D13,-0.10562792839550267,-1.8206542469904299,4.0,0.1427685474121042,0.9817559654799765,-0.30075082914031753,0.06252962380588377,-0.8142213319588586,6,False,-
HbO,S10_D11,S12_D11,S10_D11->S12_D11,0.037064981837197974,0.9139761792729254,4.0,0.4124381543693723,0.9817559654799765,-0.06254763747334577,0.12393609869779099,0.4087425733339591,6,False,+
HbO,S10_D11,S12_D13,S10_D11->S12_D13,-0.033733043990577236,-0.6454858142293993,5.0,0.5470611413446089,0.9817559654799765,-0.17082266268834617,0.1022522111191292,-0.263518480177827,6,False,-
