chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S3_D1,S12_D11,S3_D1->S12_D11,0.12079983441807335,12.520794447027512,5.0,2.883247906910121e-05,0.013797822897799718,0.09617195722803638,0.1452798960994042,5.111592928248412,6,True,+
HbO,S4_D5,S11_D12,S4_D5->S11_D12,0.11582059912976254,14.210537944273728,5.0,1.553998970998925e-05,0.013797822897799718,0.09500972000033574,0.1365302865326627,5.8014278223216085,6,True,+
HbO,S5_D3,S16_D15,S5_D3->S16_D15,0.05549292238875197,12.63780130120625,5.0,2.7555902050369685e-05,0.013797822897799718,0.04422202884286401,0.06674969123745131,5.159360776439436,6,True,+
HbO,S5_D4,S13_D13,S5_D4->S13_D13,0.09372896455236435,12.476674289304997,5.0,2.933210650042457e-05,0.013797822897799718,0.07449868567724534,0.11288955982714174,5.093580949283198,6,True,+
HbO,S6_D5,S5_D3,S6_D5->S5_D3,0.0673639269516828,15.408637710032517,5.0,1.0448438774743698e-05,0.013797822897799718,0.05615178486622318,0.07855908068260907,6.290550003497788,6,True,+
HbO,S1_D1,S12_D13,S1_D1->S12_D13,0.0861738070393651,11.70186704677831,5.0,4.00501028298225e-05,0.01569964030929042,0.06730903545477064,0.10497698649867691,4.777267217082659,6,True,+
HbO,S2_D1,S6_D7,S2_D1->S6_D7,0.10304175778671569,11.328557427270818,5.0,4.686084524613424e-05,0.015745244002701105,0.07977424977261997,0.1261970435197029,4.624864203105011,6,True,+
HbO,S11_D12,S6_D6,S11_D12->S6_D6,0.09529996561667059,10.701528756704581,5.0,6.169483614619701e-05,0.01813828182698192,0.0725012229014194,0.11799916629562462,4.368880820274515,6,True,+
HbO,S10_D10,S16_D16,S10_D10->S16_D16,0.15888435097042528,8.152811380139648,5.0,0.00022550763833902864,0.0191265968940516,0.1092795025954601,0.20769980006890548,3.328371308416339,6,True,+
HbO,S11_D13,S13_D15,S11_D13->S13_D15,0.11334494722291076,8.489754842758211,5.0,0.0001863430217374768,0.0191265968940516,0.07920046723715377,0.14722378521353638,3.4659279010133424,6,True,+
HbO,S12_D11,S3_D1,S12_D11->S3_D1,0.14196461917196412,7.746031460327177,5.0,0.0002866113804127377,0.0191265968940516,0.0952083222334996,0.18809590471172014,3.162304101557871,6,True,+
HbO,S12_D5,S3_D4,S12_D5->S3_D4,0.11121012395080997,8.164586189142248,5.0,0.00022398320438043933,0.0191265968940516,0.07636365356973249,0.14578526187465327,3.333178354062189,6,True,+
HbO,S13_D15,S12_D14,S13_D15->S12_D14,0.0799573377514251,9.37838624727233,5.0,0.00011618035884920112,0.0191265968940516,0.058099979062686206,0.10173807610756541,3.8287101527587324,6,True,+
HbO,S13_D15,S4_D2,S13_D15->S4_D2,0.11236806531247209,8.780396435437792,5.0,0.00015891515390195686,0.0191265968940516,0.07963879798699428,0.14485531849592365,3.584581834362475,6,True,+
HbO,S14_D13,S3_D1,S14_D13->S3_D1,0.09924191291630448,7.6751206326872214,5.0,0.0002991798209658842,0.0191265968940516,0.06612476563772636,0.13214065853634727,3.133354877398481,6,True,+
HbO,S14_D14,S15_D15,S14_D14->S15_D15,0.10868409459467428,8.014575531301414,5.0,0.0002443586283783429,0.0191265968940516,0.07398227018961667,0.1431230383347573,3.2719367594473097,6,True,+
HbO,S15_D16,S4_D14,S15_D16->S4_D14,0.11846088699786946,7.5911481588790855,5.0,0.00031491865947902973,0.0191265968940516,0.07855402827144944,0.15798869886219202,3.0990732585202876,6,True,+
HbO,S15_D2,S3_D1,S15_D2->S3_D1,0.05582231890834113,7.705587719729777,5.0,0.0002937012596749667,0.0191265968940516,0.03722151818799206,0.07438445153056582,3.145793013599018,6,True,+
HbO,S15_D2,S3_D4,S15_D2->S3_D4,0.05638342422520044,7.799208844560193,5.0,0.0002775957480248202,0.0191265968940516,0.03782180075054351,0.07490615346422266,3.184013677762339,6,True,+
HbO,S16_D16,S10_D10,S16_D16->S10_D10,0.11632730766027963,9.782272852468303,5.0,9.49813638828803e-05,0.0191265968940516,0.08593637474767526,0.14650196124360576,3.993596168871242,6,True,+
HbO,S16_D16,S7_D6,S16_D16->S7_D6,0.09927283465859223,8.219292748158168,5.0,0.0002170590893903568,0.0191265968940516,0.06834402756925147,0.13001100664732526,3.3555122132575987,6,True,+
