chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S6_D5,S4_D3,S6_D5->S4_D3,0.07400045479225854,32.34694682410488,5.0,2.652592319147406e-07,0.0006238897134634698,0.06813871207444658,0.07985708865041646,13.205585742666301,6,True,+
HbO,S13_D12,S5_D3,S13_D12->S5_D3,0.11665637291115782,10.368691521776698,5.0,7.183209641092368e-05,0.02111863634481156,0.08790895714098979,0.1452096358222811,4.233000588112488,6,True,+
HbO,S13_D15,S2_D4,S13_D15->S2_D4,0.18238667613629977,16.032768460782417,4.0,4.4249334551608316e-05,0.02111863634481156,0.15133703493050307,0.21307675826768305,7.170072029164832,5,True,+
HbO,S1_D2,S14_D14,S1_D2->S14_D14,0.09945416101912176,12.006609225283764,5.0,3.5352807834973316e-05,0.02111863634481156,0.07826017967589362,0.12055828578009495,4.901677690489744,6,True,+
HbO,S4_D5,S8_D9,S4_D5->S8_D9,0.1840303868567705,15.006886116798153,4.0,5.743953162208588e-05,0.02111863634481156,0.15055776665439718,0.2170815444174175,6.711283497551703,5,True,+
HbO,S5_D6,S13_D13,S5_D6->S13_D13,0.11455157726692672,14.859717505803008,4.0,5.971444974485523e-05,0.02111863634481156,0.09328697329712553,0.13571172278643973,6.6454676938838295,5,True,+
HbO,S6_D6,S9_D7,S6_D6->S9_D7,0.11624483435879061,14.305501320980527,4.0,6.935727586311244e-05,0.02111863634481156,0.09383235205522457,0.13853955491958797,6.397614681185099,5,True,+
HbO,S7_D6,S15_D16,S7_D6->S15_D16,0.11755800974290759,16.07457046300706,4.0,4.3796657630740925e-05,0.02111863634481156,0.09739509802218484,0.13762446089883992,7.188766452878811,5,True,+
HbO,S4_D5,S7_D4,S4_D5->S7_D4,0.1273280694028981,13.113219295670115,4.0,9.764082689443116e-05,0.025516802761744676,0.100575611864455,0.15389654165725913,5.864409949796058,5,True,+
HbO,S12_D5,S14_D13,S12_D5->S14_D13,0.11051892578536004,10.50737694261069,4.0,0.00023193400600950867,0.027353071555667283,0.08146822376744818,0.13938199742527052,4.699041821778281,5,True,+
HbO,S13_D12,S4_D2,S13_D12->S4_D2,0.08236122782398987,9.454240631340069,4.0,0.000349057855413713,0.027353071555667283,0.05824014083534825,0.10638620478965216,4.228064945463385,5,True,+
HbO,S13_D15,S4_D2,S13_D15->S4_D2,0.08826492775801717,9.74887430188979,4.0,0.0003100541334511193,0.027353071555667283,0.06320771439616132,0.1132109299017724,4.359829128625275,5,True,+
HbO,S13_D15,S5_D3,S13_D15->S5_D3,0.11933009010775898,11.267540365792431,4.0,0.00017674082236775413,0.027353071555667283,0.09011127637897,0.14834365894328522,5.038997239426945,5,True,+
HbO,S15_D2,S16_D15,S15_D2->S16_D15,0.10419163484756505,9.667838586593458,4.0,0.000320217480000422,0.027353071555667283,0.0744022725113113,0.13379521301834413,4.323588855023692,5,True,+
HbO,S16_D16,S7_D4,S16_D16->S7_D4,0.10395768682361038,11.343370257458913,4.0,0.00017217891691936218,0.027353071555667283,0.07863462193118793,0.12914668136179477,5.072909397925485,5,True,+
HbO,S1_D2,S16_D15,S1_D2->S16_D15,0.088251272389451,10.609260566967667,4.0,0.00022340136582988936,0.027353071555667283,0.06523307985452313,0.11117559760812215,4.744605563749532,5,True,+
HbO,S1_D2,S7_D8,S1_D2->S7_D8,0.05465912049236836,7.487587716877963,5.0,0.00033570152172075475,0.027353071555667283,0.03591432259555326,0.073365471436453,3.0567948851136477,6,True,+
HbO,S2_D2,S3_D1,S2_D2->S3_D1,0.07786298075161205,7.851855934852155,5.0,0.00026899954146270894,0.027353071555667283,0.05242989220294228,0.10319512702308621,3.2055067623719298,6,True,+
HbO,S2_D4,S16_D16,S2_D4->S16_D16,0.04886808344415944,9.520873180330302,4.0,0.00033972716544559804,0.027353071555667283,0.03463107837696219,0.063085258378506,4.2578639272746335,5,True,+
HbO,S3_D4,S1_D2,S3_D4->S1_D2,0.07493851423442152,7.558549873433643,5.0,0.0003212917340483095,0.027353071555667283,0.04950511222165882,0.10027479189916749,3.085765064215133,6,True,+
HbO,S3_D4,S2_D2,S3_D4->S2_D2,0.052216545096664985,7.662282719327877,5.0,0.00030152456036327635,0.027353071555667283,0.03471630195453515,0.06968477593831675,3.1281138212164055,6,True,+
HbO,S4_D14,S16_D15,S4_D14->S16_D15,0.15226778477290226,11.06753258232516,4.0,0.00018951483581440602,0.027353071555667283,0.11445952864372795,0.1896355773188974,4.949551039454569,5,True,+
HbO,S4_D14,S3_D1,S4_D14->S3_D1,0.12404912499018309,9.869859941824018,4.0,0.00029561421411409335,0.027353071555667283,0.08937587932944802,0.1584220606605322,4.4139355516641245,5,True,+
HbO,S4_D14,S4_D5,S4_D14->S4_D5,0.15152332770736024,11.166937801679337,4.0,0.0001830275278989015,0.027353071555667283,0.11423265998389631,0.18838760957829093,4.994006405013413,5,True,+
HbO,S4_D5,S1_D16,S4_D5->S1_D16,0.17470333177953207,10.056457494996854,4.0,0.0002749421417562321,0.027353071555667283,0.12709003208180658,0.22151336413218864,4.497384514330043,5,True,+
HbO,S4_D5,S4_D14,S4_D5->S4_D14,0.1420041001049776,11.057214885585605,4.0,0.00019020444329642474,0.027353071555667283,0.10666346797408421,0.17698638791508095,4.944936825198394,5,True,+
HbO,S5_D3,S14_D14,S5_D3->S14_D14,0.10085301845198132,9.356918995482541,5.0,0.00011745691861743706,0.027353071555667283,0.07326416206871372,0.12828763679813518,3.8199461839145945,6,True,+
HbO,S5_D6,S6_D3,S5_D6->S6_D3,0.0846832498166359,10.095608813728138,4.0,0.00027083507353090633,0.027353071555667283,0.061463892046598044,0.10781099888287228,4.514893516348425,5,True,+
