chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S10_D11,S14_D15,S10_D11--S14_D15,0.06439172183147912,4.770890301066221,5.0,0.005010854792257382,0.8816699962791393,0.05299297836659892,0.17681451497904066,1.9477078094009097,6,False,+
HbO,S11_D10,S11_D13,S11_D10--S11_D13,0.06944879791128866,7.9098882245184425,4.0,0.0013821502016648957,0.8816699962791393,0.18889855846540426,0.39323177725817404,3.537409552889671,6,False,+
HbO,S12_D11,S13_D13,S12_D11--S13_D13,0.04655178488607392,5.120237408491981,4.0,0.006884997123054129,0.8816699962791393,0.03883619250929755,0.1308465267402012,2.2898397812650857,6,False,+
HbO,S12_D11,S8_D7,S12_D11--S8_D7,-0.05361501147707837,-5.966015938792968,4.0,0.003964174864146987,0.8816699962791393,-0.1594639742044484,-0.05817831370049835,-2.66808343879766,6,False,-
HbO,S13_D12,S16_D15,S13_D12--S16_D15,-0.11253831982818474,-5.804184798919021,4.0,0.004383123978497618,0.8816699962791393,-0.27893164686456584,-0.09842312609726782,-2.5957103528707757,6,False,-
HbO,S13_D13,S6_D5,S13_D13--S6_D5,0.035305177609498695,7.395008051912204,4.0,0.0017832989119624086,0.8816699962791393,0.05689337771015601,0.1252961869319743,3.3071481396467965,6,False,+
HbO,S14_D15,S6_D7,S14_D15--S6_D7,0.07495462751457616,5.576050556787848,5.0,0.0025560177365294085,0.8816699962791393,0.0707573683396534,0.19179513160850653,2.2764131073487106,6,False,+
HbO,S1_D2,S6_D6,S1_D2--S6_D6,-0.0579325059071919,-5.004643142868125,4.0,0.007465877769521258,0.8816699962791393,-0.14959437841054835,-0.042837953997469175,-2.238144454116264,6,False,-
HbO,S1_D2,S9_D7,S1_D2--S9_D7,-0.09169765508891659,-5.351765898749982,4.0,0.005878674852771895,0.8816699962791393,-0.23021924787502013,-0.07294205524936846,-2.3933824698540436,6,False,-
HbO,S2_D4,S6_D5,S2_D4--S6_D5,-0.03683745518676729,-4.257360165859625,5.0,0.008035095067739946,0.8816699962791393,-0.10649960594039812,-0.026309717838585565,-1.7380600096011403,6,False,-
