chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S11_D13,S8_D8,S11_D13--S8_D8,-0.06950930043752013,-12.943876538727787,5.0,4.9045916488963e-05,0.05767799779102049,-0.18866071787280325,-0.12614254253472118,-5.284315468910924,6,False,-
HbO,S10_D10,S10_D11,S10_D10--S10_D11,-0.016075243270219697,-0.860983047837294,5.0,0.42859386090048845,0.9989270267264718,-0.3048689479682463,0.15188510244821224,-0.3514948573979417,6,False,-
HbO,S10_D10,S11_D10,S10_D10--S11_D10,-0.02625481787656958,-3.604537496582319,5.0,0.015469128135834514,0.9989270267264718,-0.23838415866509316,-0.039914799548184166,-1.4715462708926241,6,False,-
HbO,S10_D10,S11_D11,S10_D10--S11_D11,-0.023462382331673415,-1.1436850642652034,5.0,0.3045382419491068,0.9989270267264718,-0.28751202842331963,0.11045247854925865,-0.4669074723153227,6,False,-
HbO,S10_D10,S11_D12,S10_D10--S11_D12,-0.014357744998762412,-0.5295874077698837,5.0,0.6190603469115168,0.9989270267264718,-0.23192197343684962,0.15268568207725292,-0.21620315387324374,6,False,-
HbO,S10_D10,S11_D13,S10_D10--S11_D13,-0.013109751576955486,-0.5488661298303275,5.0,0.6067067822260908,0.9989270267264718,-0.25268901269011623,0.16376786896132609,-0.22407365919674785,6,False,-
HbO,S10_D10,S12_D11,S10_D10--S12_D11,-0.022864463760067233,-1.162102868149139,5.0,0.29764415879336,0.9989270267264718,-0.2890298199497903,0.10906156149835998,-0.47442650926503804,6,False,-
HbO,S10_D10,S12_D13,S10_D10--S12_D13,0.011883394666311498,0.23802044098719935,5.0,0.8213117866528233,0.9989270267264718,-0.3353639412696679,0.40380670412712255,0.09717143812847893,6,False,+
HbO,S10_D10,S12_D14,S10_D10--S12_D14,-0.03882504216350979,-0.7069732846183999,5.0,0.5111602318946745,0.9989270267264718,-0.435863399012363,0.2478306932064797,-0.2886206348490839,6,False,-
HbO,S10_D10,S12_D5,S10_D10--S12_D5,-0.014476639739730346,-0.36120497594337575,5.0,0.7327067869943305,0.9989270267264718,-0.36711839966261894,0.2766582119062948,-0.14746131393592393,6,False,-
HbO,S10_D10,S13_D12,S10_D10--S13_D12,-0.008858924811770419,-0.17150546861607088,5.0,0.8705513819065888,0.9989270267264718,-0.2536214941905386,0.22189568214596855,-0.07001681436771466,6,False,-
HbO,S10_D10,S13_D13,S10_D10--S13_D13,0.004598091734803744,0.10501039648032055,5.0,0.920450066969064,0.9989270267264718,-0.23602219872491942,0.25612689678610806,0.04287031484402332,6,False,+
HbO,S10_D10,S13_D15,S10_D10--S13_D15,0.02202587479355722,1.2544906446055677,5.0,0.265112181011894,0.9989270267264718,-0.04189925275105801,0.12177551201087461,0.5121436610631326,6,False,+
HbO,S10_D10,S14_D13,S10_D10--S14_D13,-0.027782663959148968,-0.6687428621861704,5.0,0.5332892564162222,0.9989270267264718,-0.29574104806949003,0.17363244000999217,-0.27301313024741486,6,False,-
HbO,S10_D10,S14_D14,S10_D10--S14_D14,0.003808391338731676,0.0905645215502095,5.0,0.931354771290895,0.9989270267264718,-0.23876476946264275,0.2562030486122371,0.036972811099550716,6,False,+
HbO,S10_D10,S14_D15,S10_D10--S14_D15,0.0037705573752205845,0.08183029487364206,5.0,0.9379564142366394,0.9989270267264718,-0.2369758511938372,0.2525594106319814,0.03340707799031818,6,False,+
HbO,S10_D10,S15_D15,S10_D10--S15_D15,-0.003358941166619611,-0.07422945198737196,5.0,0.9437060293025066,0.9989270267264718,-0.21816069365563254,0.20591486817007018,-0.030304046875914006,6,False,-
HbO,S10_D10,S15_D16,S10_D10--S15_D16,0.08038467436895369,1.392550498903344,5.0,0.22251020598503993,0.9989270267264718,-0.1347175673709722,0.4532167614140873,0.5685063605618897,6,False,+
HbO,S10_D10,S15_D2,S10_D10--S15_D2,0.012966787050698092,0.3686343358902646,5.0,0.7274940198681663,0.9989270267264718,-0.20408917885549005,0.27242348647949993,0.15049433743348198,6,False,+
HbO,S10_D10,S16_D15,S10_D10--S16_D15,0.029898334949729266,0.5817516023863077,5.0,0.5859750354192467,0.9989270267264718,-0.1952810388758718,0.3095241305006968,0.23749909714882314,6,False,+
HbO,S10_D10,S16_D16,S10_D10--S16_D16,0.02098473468614348,0.45549572129644866,5.0,0.6678505103119494,0.9989270267264718,-0.16315392967971032,0.23342616718149573,0.18595534953287937,6,False,+
HbO,S10_D10,S1_D1,S10_D10--S1_D1,-0.029117381780388696,-0.6288749580683013,5.0,0.557038965040753,0.9989270267264718,-0.2710038245919997,0.16446854075132813,-0.25673712654691755,6,False,-
HbO,S10_D10,S1_D16,S10_D10--S1_D16,0.02164104321887339,0.4720976580406566,5.0,0.6567424299344069,0.9989270267264718,-0.19553019353426393,0.28350736050964326,0.19273306182709146,6,False,+
HbO,S10_D10,S1_D2,S10_D10--S1_D2,-0.00682284647217557,-0.16120592450347881,5.0,0.8782424789710752,0.9989270267264718,-0.2470363005349728,0.2178805104734333,-0.06581204309119179,6,False,-
HbO,S10_D10,S2_D1,S10_D10--S2_D1,0.020094716108806532,0.3167357793453067,5.0,0.7642413663619232,0.9989270267264718,-0.2670302253988453,0.34208240237817295,0.1293068404464608,6,False,+
HbO,S10_D10,S2_D2,S10_D10--S2_D2,-0.005654330733314006,-0.13575000667905807,5.0,0.8973149571351758,0.9989270267264718,-0.2351884608960008,0.2115942847212455,-0.055419708157183445,6,False,-
HbO,S10_D10,S2_D4,S10_D10--S2_D4,-0.017686879944970535,-0.3744749887280965,5.0,0.7234076376333312,0.9989270267264718,-0.24648407313123913,0.18380132980088162,-0.15287877396971977,6,False,-
HbO,S10_D10,S3_D1,S10_D10--S3_D1,0.018723876402145345,0.2806044862120581,5.0,0.7902539737226874,0.9989270267264718,-0.2641364439125333,0.328868849368501,0.11455630179256336,6,False,+
HbO,S10_D10,S3_D4,S10_D10--S3_D4,0.042060866354717064,0.7111308520906514,5.0,0.5087922815669166,0.9989270267264718,-0.1814992969503561,0.320324951228208,0.2903179546621187,6,False,+
HbO,S10_D10,S4_D14,S10_D10--S4_D14,-0.03924970398836192,-0.7557774592054335,5.0,0.48384602716341374,0.9989270267264718,-0.41550849807793955,0.22669428462686314,-0.3085448556917402,6,False,-
HbO,S10_D10,S4_D2,S10_D10--S4_D2,-0.026431842974811492,-0.6304995909893313,5.0,0.5560579151688023,0.9989270267264718,-0.3360280287723622,0.20365680388586543,-0.25740038015955935,6,False,-
HbO,S10_D10,S4_D3,S10_D10--S4_D3,-0.0014179126389635144,-0.024377179339584314,5.0,0.9814947185762274,0.9989270267264718,-0.4426618362598925,0.43434505984298455,-0.009951941791716299,6,False,-
HbO,S10_D10,S4_D5,S10_D10--S4_D5,-0.021261659412590173,-0.44721402804919,5.0,0.6734281435937031,0.9989270267264718,-0.42367307033091717,0.2981029198521087,-0.18257436242253994,6,False,-
HbO,S10_D10,S5_D3,S10_D10--S5_D3,-0.04073783153511845,-1.2381343038286852,5.0,0.2706276808538816,0.9989270267264718,-0.2717239599819664,0.09506035801917846,-0.505466212902726,6,False,-
HbO,S10_D10,S5_D4,S10_D10--S5_D4,0.007122986369259454,0.18741970838322622,5.0,0.8586997233145072,0.9989270267264718,-0.18125269538065378,0.20976131166272874,0.07651377554668785,6,False,+
HbO,S10_D10,S5_D6,S10_D10--S5_D6,-0.009910523601579069,-0.24022052792794768,5.0,0.8196974699561723,0.9989270267264718,-0.2525718807183421,0.2094006131028005,-0.09806961986091131,6,False,-
HbO,S10_D10,S6_D3,S10_D10--S6_D3,-0.03970828276366167,-0.6580421861296413,5.0,0.5395968849416257,0.9989270267264718,-0.42132535088476086,0.24958045082891644,-0.2686445975405292,6,False,-
HbO,S10_D10,S6_D5,S10_D10--S6_D5,-0.05682242176311425,-1.3639522957462227,5.0,0.23077364274402684,0.9989270267264718,-0.4560820179782536,0.13986968142321582,-0.5568311930126567,6,False,-
HbO,S10_D10,S6_D6,S10_D10--S6_D6,-0.013553186600125833,-0.25990182804015083,5.0,0.8053022872479367,0.9989270267264718,-0.3476629045384044,0.2838164138549606,-0.10610447698582447,6,False,-
HbO,S10_D10,S6_D7,S10_D10--S6_D7,-0.03419631710310589,-0.9189098607290569,5.0,0.4003012724059777,0.9989270267264718,-0.36195480801746743,0.1713231222782629,-0.37514337973302403,6,False,-
HbO,S10_D10,S7_D4,S10_D10--S7_D4,-0.03666094189413094,-1.2035014203956254,5.0,0.28264937497603815,0.9989270267264718,-0.20718776594345703,0.07504930810577085,-0.49132739744734505,6,False,-
HbO,S10_D10,S7_D6,S10_D10--S7_D6,0.003910776717570452,0.11467518590952273,5.0,0.9131653265645991,0.9989270267264718,-0.17325516963063892,0.18943499372076844,0.04681594860618833,6,False,+
HbO,S10_D10,S7_D8,S10_D10--S7_D8,-0.009082507618850544,-0.26150712992841507,5.0,0.8041319009107913,0.9989270267264718,-0.17732534556998603,0.14457789819286965,-0.10675983873738676,6,False,-
HbO,S10_D10,S8_D6,S10_D10--S8_D6,0.018441406459150378,0.3422429534088586,5.0,0.7460850219387413,0.9989270267264718,-0.30649213743654746,0.40063829729534295,0.13972010065247004,6,False,+
HbO,S10_D10,S8_D7,S10_D10--S8_D7,-0.02301108416360309,-0.688252643793145,5.0,0.5219166457607205,0.9989270267264718,-0.2805264636033704,0.1620343576386861,-0.2809779652357855,6,False,-
HbO,S10_D10,S8_D8,S10_D10--S8_D8,-0.03705371057167939,-2.1790379018140773,5.0,0.08121149543053,0.9989270267264718,-0.18173173861674968,0.014981401411421916,-0.8895884982715601,6,False,-
HbO,S10_D10,S8_D9,S10_D10--S8_D9,-0.025207650202050846,-1.8054696693108556,5.0,0.1308331040135418,0.9989270267264718,-0.16375321638067733,0.02863073663235921,-0.7370799059805129,6,False,-
HbO,S10_D10,S9_D7,S10_D10--S9_D7,-0.027966169692210996,-0.7919294983814968,5.0,0.4642978307783696,0.9989270267264718,-0.4982499297056327,0.2635570006983589,-0.3233038638821507,6,False,-
HbO,S10_D10,S9_D9,S10_D10--S9_D9,-0.02276715145645325,-1.1026501389140844,5.0,0.32040210971573624,0.9989270267264718,-0.2917316078323151,0.11658454381313914,-0.45015503419141606,6,False,-
HbO,S10_D11,S11_D10,S10_D11--S11_D10,-0.042602434737802786,-4.562689038214166,5.0,0.006042060674419073,0.9989270267264718,-0.18169662644795778,-0.05074238237019191,-1.8627099997691408,6,False,-
HbO,S10_D11,S11_D11,S10_D11--S11_D11,-0.027630377520429072,-1.9302459787400632,5.0,0.11145513935406659,0.9989270267264718,-0.22554304813889536,0.03208816398967772,-0.788019620995377,6,False,-
HbO,S10_D11,S11_D12,S10_D11--S11_D12,-0.04117941947972459,-1.5573002679966985,5.0,0.18013187771067685,0.9989270267264718,-0.21527453032448302,0.052843978602996264,-0.635765172148568,6,False,-
HbO,S10_D11,S11_D13,S10_D11--S11_D13,-0.028145781735412156,-1.2636750470056657,5.0,0.2620600623185931,0.9989270267264718,-0.2297270990022613,0.07830250147757621,-0.5158931776419048,6,False,-
HbO,S10_D11,S12_D11,S10_D11--S12_D11,-0.019606227228599504,-2.1493493913864214,5.0,0.08431435454111973,0.9989270267264718,-0.1841542419959566,0.016434930456364752,-0.8774682146430511,6,False,-
HbO,S10_D11,S12_D13,S10_D11--S12_D13,-0.007833929472980339,-0.15036141238445716,5.0,0.8863570003176455,0.9989270267264718,-0.29686954970211277,0.2640590713361144,-0.06138478955768656,6,False,-
HbO,S10_D11,S12_D14,S10_D11--S12_D14,-0.02998897648431087,-0.6808250910377226,5.0,0.5262267954204685,0.9989270267264718,-0.29948649958719165,0.1740651494182714,-0.2779456795210542,6,False,-
HbO,S10_D11,S12_D5,S10_D11--S12_D5,-0.01754170889267548,-0.6903708030717176,5.0,0.5206919048283806,0.9989270267264718,-0.22308409504804938,0.12862657731368127,-0.28184270014019297,6,False,-
HbO,S10_D11,S13_D12,S10_D11--S13_D12,0.00867919026060937,0.16791478589539227,5.0,0.873230902786042,0.9989270267264718,-0.2023300865211088,0.2306105036201418,0.06855092428539947,6,False,+
HbO,S10_D11,S13_D13,S10_D11--S13_D13,0.030354490293428515,1.041822824204712,5.0,0.345224578272887,0.9989270267264718,-0.08008746145914097,0.18924390097227783,0.4253223869478074,6,False,+
HbO,S10_D11,S13_D15,S10_D11--S13_D15,0.01682920286606837,0.578414479602837,5.0,0.5880589374288995,0.9989270267264718,-0.09498591035463443,0.15014314977127544,0.23613672247740317,6,False,+
HbO,S10_D11,S14_D13,S10_D11--S14_D13,-0.01760280286639082,-0.6633162158903391,5.0,0.5364818796856068,0.9989270267264718,-0.1589936939779525,0.09377018120203479,-0.27079771117418966,6,False,-
HbO,S10_D11,S14_D14,S10_D11--S14_D14,-0.021551322215455748,-0.663952317677447,5.0,0.5361069882812192,0.9989270267264718,-0.21302421943948563,0.1255693233003472,-0.2710573986413375,6,False,-
HbO,S10_D11,S14_D15,S10_D11--S14_D15,0.044044879900707934,2.9860398967125135,5.0,0.030586421180143656,0.9989270267264718,0.011191740242709566,0.1496860282223214,1.2190456830897738,6,False,+
HbO,S10_D11,S15_D15,S10_D11--S15_D15,-0.009068275087581346,-0.5392949614220094,5.0,0.6128216636608885,0.9989270267264718,-0.08893004074870704,0.058086681976296975,-0.2201662460563103,6,False,-
HbO,S10_D11,S15_D16,S10_D11--S15_D16,0.013153580456407798,0.2925782635842021,5.0,0.7815970441438675,0.9989270267264718,-0.1819969065088692,0.2287469112387505,0.11944457593513602,6,False,+
HbO,S10_D11,S15_D2,S10_D11--S15_D2,-0.010918220785793853,-0.2841229437270654,5.0,0.7877065320638273,0.9989270267264718,-0.2404197860720721,0.1925628042623721,-0.11599270605813482,6,False,-
HbO,S10_D11,S16_D15,S10_D11--S16_D15,-0.008361805875488182,-0.27796380274873256,5.0,0.7921678421831411,0.9989270267264718,-0.15137233248776358,0.12183021906521098,-0.11347824728300451,6,False,-
HbO,S10_D11,S16_D16,S10_D11--S16_D16,-0.03205194966498803,-2.394679963491935,5.0,0.06202751416263746,0.9989270267264718,-0.10756306479466529,0.0038105834569066785,-0.9776240013036485,6,False,-
HbO,S10_D11,S1_D1,S10_D11--S1_D1,-0.03680265105090952,-0.6764019558522906,5.0,0.528804913625861,0.9989270267264718,-0.2914373224859686,0.17001461908067153,-0.276139942143111,6,False,-
HbO,S10_D11,S1_D16,S10_D11--S1_D16,-0.01608082840003111,-0.25687293787038123,5.0,0.8075121493661054,0.9989270267264718,-0.3198118126736434,0.2617023067979794,-0.10486793775201327,6,False,-
HbO,S10_D11,S1_D2,S10_D11--S1_D2,-0.043831158510101886,-0.5767505444486172,5.0,0.5890996924820529,0.9989270267264718,-0.45248119631679073,0.28664629563723276,-0.2354574237952502,6,False,-
HbO,S10_D11,S2_D1,S10_D11--S2_D1,-0.006012039963544047,-0.09265065134279628,5.0,0.929778902074522,0.9989270267264718,-0.2904755673263702,0.27026497689272505,-0.03782447002106,6,False,-
HbO,S10_D11,S2_D2,S10_D11--S2_D2,-0.050918357515821966,-0.918745232101177,5.0,0.40037954220025895,0.9989270267264718,-0.36502292560971766,0.1728007200089094,-0.37507617037713054,6,False,-
HbO,S10_D11,S2_D4,S10_D11--S2_D4,-0.023007558680826934,-0.5338641990291495,5.0,0.6163072855781908,0.9989270267264718,-0.22968702929041776,0.15068956529827757,-0.21794914659350983,6,False,-
HbO,S10_D11,S3_D1,S10_D11--S3_D1,0.0004065706925477919,0.007321845691737371,5.0,0.994441216387647,0.9989270267264718,-0.23348441010982246,0.23481828714840364,0.0029891309866919825,6,False,+
HbO,S10_D11,S3_D4,S10_D11--S3_D4,0.03336251226453191,0.6069311676637961,5.0,0.5703986935529785,0.9989270267264718,-0.1753450104955192,0.28373735715863296,0.247778611627981,6,False,+
HbO,S10_D11,S4_D14,S10_D11--S4_D14,-0.05004130493011949,-1.0260301865962056,5.0,0.3519292587573807,0.9989270267264718,-0.3746300155773802,0.16088346609618143,-0.4188750696422193,6,False,-
HbO,S10_D11,S4_D2,S10_D11--S4_D2,-0.038426756080133906,-0.6394888905992702,5.0,0.5506498530332234,0.9989270267264718,-0.46085973692911464,0.27724092785927223,-0.26107024635778436,6,False,-
HbO,S10_D11,S4_D3,S10_D11--S4_D3,0.015227152676910105,0.27632451351520926,5.0,0.7933567740232413,0.9989270267264718,-0.28190333005166945,0.34980922690444904,0.11280901025584279,6,False,+
HbO,S10_D11,S4_D5,S10_D11--S4_D5,-0.017006945784069694,-0.7531282464567794,5.0,0.48530152794477693,0.9989270267264718,-0.19268125160731991,0.1053609441413128,-0.30746331911602715,6,False,-
HbO,S10_D11,S5_D3,S10_D11--S5_D3,-0.022599153052691556,-0.6532880132504318,5.0,0.5424150989062144,0.9989270267264718,-0.20508262852696185,0.12196635571041498,-0.26670371459002234,6,False,-
HbO,S10_D11,S5_D4,S10_D11--S5_D4,0.015003568125911748,0.3256861298350891,5.0,0.7578500440734934,0.9989270267264718,-0.18737350250285012,0.24174124057290736,0.13296080573296687,6,False,+
HbO,S10_D11,S5_D6,S10_D11--S5_D6,0.0007252057890592134,0.015718556661442607,5.0,0.9880668511399311,0.9989270267264718,-0.2213079574449626,0.22403111034113052,0.006417073885593312,6,False,+
HbO,S10_D11,S6_D3,S10_D11--S6_D3,-0.02641482368275838,-0.6635854986168634,5.0,0.5363231545682493,0.9989270267264718,-0.24940955570455337,0.14706199772315154,-0.2709076453869446,6,False,-
HbO,S10_D11,S6_D5,S10_D11--S6_D5,-0.029078387155469954,-0.9806678177834752,5.0,0.3717935208031869,0.9989270267264718,-0.253567131146074,0.11352340038601512,-0.40035596012303093,6,False,-
HbO,S10_D11,S6_D6,S10_D11--S6_D6,0.024386435560402764,0.5087056801607268,5.0,0.6326036160850328,0.9989270267264718,-0.21234927830986666,0.31713082279534893,0.20767822427487342,6,False,+
HbO,S10_D11,S6_D7,S10_D11--S6_D7,0.017471241011262628,0.44546505404037,5.0,0.6746091244227594,0.9989270267264718,-0.20096698474206193,0.28522001920468687,0.18186034677337343,6,False,+
HbO,S10_D11,S7_D4,S10_D11--S7_D4,-0.046342883383401534,-1.8057590443099967,5.0,0.13078437850591473,0.9989270267264718,-0.1887004276716602,0.03297786707558292,-0.7371980428292152,6,False,-
HbO,S10_D11,S7_D6,S10_D11--S7_D6,-0.004805045498325833,-0.14044369672910662,5.0,0.8937919148085527,0.9989270267264718,-0.17058271962686278,0.1529087674958416,-0.057335899096083005,6,False,-
HbO,S10_D11,S7_D8,S10_D11--S7_D8,-0.010632788121918701,-0.43066674000186567,5.0,0.6846438035248343,0.9989270267264718,-0.12359958208367924,0.08812752587770345,-0.17581896036540665,6,False,-
HbO,S10_D11,S8_D6,S10_D11--S8_D6,0.005758211043687567,0.13855921556127632,5.0,0.8952060613964875,0.9989270267264718,-0.20286342167427548,0.22597882885942475,0.05656656288090495,6,False,+
HbO,S10_D11,S8_D7,S10_D11--S8_D7,-0.029675397542279658,-0.9777225632870319,5.0,0.3731145585727342,0.9989270267264718,-0.28095734470244793,0.12612376541869388,-0.3991535650098769,6,False,-
HbO,S10_D11,S8_D8,S10_D11--S8_D8,-0.04061301883262347,-2.7866273095127503,5.0,0.03859841246029554,0.9989270267264718,-0.15314214045990937,-0.006175914624515236,-1.1376358352684943,6,False,-
HbO,S10_D11,S8_D9,S10_D11--S8_D9,0.005269507232401716,0.1136882562797195,5.0,0.9139087858363768,0.9989270267264718,-0.2856299825332291,0.3120639924783513,0.04641303627201303,6,False,+
HbO,S10_D11,S9_D7,S10_D11--S9_D7,-0.0022044363567723657,-0.07326090114245426,5.0,0.9444389718272098,0.9989270267264718,-0.3007722956204329,0.28410349069545876,-0.02990863764924902,6,False,-
HbO,S10_D11,S9_D9,S10_D11--S9_D9,-0.03060223478781332,-1.2063705212777078,5.0,0.2816355503609086,0.9989270267264718,-0.2839012820693365,0.10254334832974951,-0.49249870297762355,6,False,-
HbO,S11_D10,S11_D11,S11_D10--S11_D11,-0.07257008148814392,-3.8582875792287363,5.0,0.011900640423540042,0.9989270267264718,-0.41000036187673383,-0.08212327655044213,-1.5751393083380882,6,False,-
HbO,S11_D10,S11_D12,S11_D10--S11_D12,-0.022908871396097097,-0.9104636870210352,5.0,0.4043325498945897,0.9989270267264718,-0.2916859132877111,0.13910564374771503,-0.37169524375576324,6,False,-
HbO,S11_D10,S11_D13,S11_D10--S11_D13,-0.03726949096533716,-1.2687171734376133,5.0,0.26039812645239063,0.9989270267264718,-0.4689401214846967,0.15901251020179058,-0.5179516171380502,6,False,-
HbO,S11_D10,S12_D11,S11_D10--S12_D11,-0.046750467086951186,-1.8001222949424573,5.0,0.13173684054053106,0.9989270267264718,-0.3106245921251221,0.054756321504939476,-0.7348968495361441,6,False,-
HbO,S11_D10,S12_D13,S11_D10--S12_D13,-0.018550037144519305,-0.3347377060897069,5.0,0.7514086665911351,0.9989270267264718,-0.3853738419721827,0.2965717986884284,-0.13665609626491787,6,False,-
HbO,S11_D10,S12_D14,S11_D10--S12_D14,-0.0438352041821094,-0.8118605654682545,5.0,0.4537717824091331,0.9989270267264718,-0.41935413353720047,0.21804570393982908,-0.33144068794744,6,False,-
