chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S10_D10,S14_D14,S10_D10--S14_D14,0.7523756026154966,40.713601148016174,5.0,1.6857889223551134e-07,4.9562194317240335e-05,0.724300418481597,0.7779599721494436,16.621258067305178,6,True,+
HbO,S11_D12,S1_D1,S11_D12--S1_D1,0.5803828146843423,45.56857137379358,5.0,9.610335156306544e-08,4.9562194317240335e-05,0.5550405323016008,0.6046487039488345,18.603291362231758,6,True,+
HbO,S11_D12,S4_D14,S11_D12--S4_D14,0.6510541152066599,43.81917383901512,5.0,1.1683221725846476e-07,4.9562194317240335e-05,0.6240049639223411,0.6765449170995246,17.889102809316753,6,True,+
HbO,S11_D13,S14_D14,S11_D13--S14_D14,0.7365572609410138,41.419692961742435,5.0,1.5472519186840434e-07,4.9562194317240335e-05,0.708613301376711,0.7621943762702759,16.90951884316945,6,True,+
HbO,S11_D12,S4_D5,S11_D12--S4_D5,0.6668349206733968,31.460426178695187,5.0,6.092436482980659e-07,0.00011408612031850388,0.6286886742985655,0.7017798260015317,12.843665204716872,6,True,+
HbO,S12_D13,S4_D2,S12_D13--S4_D2,0.7668791286890302,31.254212845992207,5.0,6.295195949640473e-07,0.00011408612031850388,0.7303205127249284,0.7990572838113758,12.759478964170025,6,True,+
HbO,S13_D15,S16_D16,S13_D15--S16_D16,0.5887241186614021,30.78196933621774,5.0,6.790840495149041e-07,0.00011408612031850388,0.5506285861627576,0.6243724306064324,12.566686358621945,6,True,+
HbO,S11_D11,S14_D14,S11_D11--S14_D14,0.7096698273293796,29.572773779308612,5.0,8.289676705644465e-07,0.00012185824757297363,0.6692915484187263,0.7458686121777461,12.073034339677296,6,True,+
HbO,S12_D11,S15_D15,S12_D11--S15_D15,0.6457811402321761,27.34906975771072,5.0,1.2228975642356874e-06,0.00015979194839346313,0.6017203603438279,0.6859233711703823,11.165210974362338,6,True,+
HbO,S11_D13,S9_D9,S11_D13--S9_D9,0.7663906829393078,26.660256231794488,5.0,1.3882184518013203e-06,0.00016325448993183525,0.7230422053572044,0.8037272617779275,10.884004029958652,6,True,+
HbO,S11_D10,S9_D9,S11_D10--S9_D9,0.7985311575871797,26.08631600492755,5.0,1.546772438202618e-06,0.00016536403521147987,0.7559462746434297,0.834386240054212,10.649693913511781,6,True,+
HbO,S11_D10,S8_D9,S11_D10--S8_D9,0.7625849244953289,25.25437897525808,5.0,1.8169882668760577e-06,0.00017806485015385367,0.7164610638707987,0.8020709175554,10.310057043375638,6,True,+
HbO,S11_D12,S1_D16,S11_D12--S1_D16,0.6073826135528596,24.1138639673218,5.0,2.285602333844914e-06,0.00020675910343089378,0.5578003964631658,0.6526449979340714,9.844443741137272,6,True,+
HbO,S11_D12,S9_D7,S11_D12--S9_D7,0.6917744955955152,23.57876960844909,5.0,2.5548463320369827e-06,0.00021460709189110655,0.6402136181336139,0.7371304285628102,9.62599238389063,6,True,+
HbO,S11_D12,S12_D5,S11_D12--S12_D5,0.6703921129227505,22.268064550775556,5.0,3.3927599100294602e-06,0.00022417611385748028,0.6155336660840988,0.7187855019766513,9.090899284793071,6,True,+
HbO,S11_D12,S6_D6,S11_D12--S6_D6,0.6329831816668353,22.85182714007287,5.0,2.9842120693251258e-06,0.00022417611385748028,0.5799707640620622,0.6806571689840323,9.329219363910457,6,True,+
HbO,S11_D13,S14_D15,S11_D13--S14_D15,0.759932367790356,21.998868090649097,5.0,3.603586948268827e-06,0.00022417611385748028,0.7062516175362411,0.8049248387599673,8.98100029014752,6,True,+
HbO,S12_D13,S12_D5,S12_D13--S12_D5,0.8390394165004199,22.5749129706913,5.0,3.1701952551770557e-06,0.00022417611385748028,0.792915733228176,0.8756027889619935,9.216169627655212,6,True,+
HbO,S13_D15,S3_D4,S13_D15--S3_D4,0.6011781997865341,21.7500939102068,5.0,3.8125189431544265e-06,0.00022417611385748028,0.5461310473456291,0.6510557768985261,8.879438656270406,6,True,+
HbO,S16_D16,S4_D5,S16_D16--S4_D5,0.628782551382792,21.919283990572954,5.0,3.668897803691668e-06,0.00022417611385748028,0.5734760492958292,0.6783834130205473,8.94851021734333,6,True,+
HbO,S10_D11,S13_D13,S10_D11--S13_D13,0.681145205426493,20.95359869246765,5.0,4.5863858952222996e-06,0.00025472911478820334,0.622618631564546,0.7320937480927054,8.554270845265755,6,True,+
