chromophore,source,target,edge,effect,t,df,p,q,ci_low,ci_high,cohens_d,n,significant,direction
HbO,S11_D11,S1_D1,S11_D11--S1_D1,0.635317104911148,38.22887670665492,5.0,2.3076370374276e-07,9.045937186716192e-05,0.6042608358929121,0.6644459563686118,15.606873561845669,6,True,+
HbO,S11_D12,S9_D7,S11_D12--S9_D7,0.6992623675588322,93.12718264194929,4.0,7.970978260680115e-08,9.045937186716192e-05,0.6858310342556445,0.7122175076757081,41.64774218808741,5,True,+
HbO,S12_D11,S14_D13,S12_D11--S14_D13,0.6579515070534373,73.79170186967849,4.0,2.0211084458715415e-07,9.045937186716192e-05,0.6407818025164213,0.6744633671649262,33.000652311199886,5,True,+
HbO,S11_D12,S14_D14,S11_D12--S14_D14,0.6657947997041793,18.982460471389153,5.0,7.476767042319954e-06,0.0009769642268631406,0.6007944700479716,0.7220491689379748,7.749557036242478,6,True,+
HbO,S12_D14,S14_D13,S12_D14--S14_D13,0.8441888906617111,31.032131397303086,4.0,6.4254601787873196e-06,0.0009769642268631406,0.8093108253037253,0.8731348813125294,13.877991058215047,5,True,+
HbO,S13_D13,S1_D1,S13_D13--S1_D1,0.6233321156421195,32.37683163785151,4.0,5.425713980776449e-06,0.0009769642268631406,0.5835297336720979,0.6601469461553174,14.479359287660365,5,True,+
HbO,S14_D13,S2_D1,S14_D13--S2_D1,0.6235830395692225,20.630650478091862,5.0,4.95300081448524e-06,0.0009769642268631406,0.5647518136999382,0.676108233534397,8.422427788838482,6,True,+
HbO,S14_D13,S8_D9,S14_D13--S8_D9,0.6783316467514879,30.772559127255786,4.0,6.644242380919699e-06,0.0009769642268631406,0.6360370635328,0.7165628395452451,13.761906810035107,5,True,+
HbO,S15_D15,S1_D1,S15_D15--S1_D1,0.5838974078367031,19.10944433701134,5.0,7.234439272786536e-06,0.0009769642268631406,0.5215375468521546,0.6400524002765807,7.801397982299228,6,True,+
HbO,S11_D12,S6_D5,S11_D12--S6_D5,0.6125623299681916,17.595016461589253,5.0,1.0875304953431109e-05,0.001162668965930453,0.5433123430718276,0.6735328642761028,7.18313539112734,6,True,+
HbO,S15_D15,S4_D3,S15_D15--S4_D3,0.589159626494466,17.694782502497738,5.0,1.0576211057773169e-05,0.001162668965930453,0.5212963438084012,0.6496180923257681,7.223864706774577,6,True,+
HbO,S14_D13,S9_D9,S14_D13--S9_D9,0.6488469282382733,16.765981510526426,5.0,1.3795783143418702e-05,0.001247987767435415,0.5748526381100282,0.7123154870012589,6.844683289621149,6,True,+
HbO,S15_D15,S2_D2,S15_D15--S2_D2,0.5944055326029627,16.79993328066158,5.0,1.3659009258182844e-05,0.001247987767435415,0.5224636013835259,0.6579442987876545,6.85854404173705,6,True,+
HbO,S14_D13,S4_D2,S14_D13--S4_D2,0.712631906951053,24.787932455343128,4.0,1.572144978142967e-05,0.001320601781640092,0.6598472128886197,0.7584176779064835,11.0855003983641,5,True,+
HbO,S10_D11,S11_D12,S10_D11--S11_D12,0.704421178704543,15.635460147402323,5.0,1.9449241326500687e-05,0.001331082367205338,0.624286332505779,0.7698857044864795,6.383149875792859,6,True,+
HbO,S11_D11,S12_D14,S11_D11--S12_D14,0.7152898213675057,23.521065931130824,4.0,1.936903381460485e-05,0.001331082367205338,0.6595066960226815,0.7632378380045842,10.518940465052582,5,True,+
HbO,S13_D12,S4_D5,S13_D12--S4_D5,0.6381494572596281,15.947475180929246,5.0,1.764898747664166e-05,0.001331082367205338,0.5603473829184022,0.704788336616125,6.51052947982925,6,True,+
HbO,S14_D14,S1_D1,S14_D14--S1_D1,0.6363088755238472,15.48837864186884,5.0,2.037370970212252e-05,0.001331082367205338,0.5560847613919407,0.7047854494202663,6.323104102599963,6,True,+
HbO,S10_D10,S14_D13,S10_D10--S14_D13,0.7038819043691066,17.07164367058733,4.0,6.905263212133205e-05,0.0013932038390578306,0.6246870416739709,0.7687444513548181,7.634671147017459,5,True,+
HbO,S10_D10,S4_D5,S10_D10--S4_D5,0.8280978798543553,17.76542052163045,4.0,5.898354725095814e-05,0.0013932038390578306,0.7604652462225339,0.8779582486562755,7.94493758704709,5,True,+
HbO,S10_D11,S1_D1,S10_D11--S1_D1,0.6422786501518775,11.92479548556195,5.0,7.309222669931595e-05,0.0013932038390578306,0.5354624265129124,0.7288704649755249,4.868277371111858,6,True,+
HbO,S11_D10,S14_D13,S11_D10--S14_D13,0.664563649647175,12.100135271451922,5.0,6.809036909208073e-05,0.0013932038390578306,0.5585951071499344,0.7491860911447566,4.9398595389517395,6,True,+
HbO,S11_D11,S4_D14,S11_D11--S4_D14,0.7109595022778545,18.59206163471746,4.0,4.9261895576135185e-05,0.0013932038390578306,0.6389187338985519,0.7706386035776693,8.31462273141882,5,True,+
HbO,S11_D11,S5_D4,S11_D11--S5_D4,0.6398107818552479,17.001600806554148,4.0,7.018452620818989e-05,0.0013932038390578306,0.5608635371997703,0.7072272154671185,7.603347025954065,5,True,+
HbO,S11_D11,S6_D5,S11_D11--S6_D5,0.6528902168245777,12.637789584758655,5.0,5.511205291729741e-05,0.0013932038390578306,0.552240585583763,0.7347809880529753,5.1593559932197355,6,True,+
HbO,S11_D12,S14_D15,S11_D12--S14_D15,0.692709814871062,14.854204108757022,5.0,2.501475422398549e-05,0.0013932038390578306,0.6078511075937589,0.7619246065871378,6.064203433601345,6,True,+
HbO,S11_D12,S4_D5,S11_D12--S4_D5,0.6604631162155873,12.28858007609256,5.0,6.316333574984564e-05,0.0013932038390578306,0.556410170190663,0.7441210530985602,5.016791808293076,6,True,+
HbO,S11_D12,S5_D6,S11_D12--S5_D6,0.6578589005183555,13.216529189442925,5.0,4.4303744288085366e-05,0.0013932038390578306,0.5618724123037335,0.7363659100440715,5.39562544745582,6,True,+
HbO,S11_D12,S8_D6,S11_D12--S8_D6,0.6790895026027712,13.670059945603267,5.0,3.7572347208321704e-05,0.0013932038390578306,0.5861823609686004,0.7543679878345058,5.580778603331063,6,True,+
HbO,S11_D13,S12_D13,S11_D13--S12_D13,0.8386148578862952,20.93045710381304,4.0,3.079329365446139e-05,0.0013932038390578306,0.7837885168636732,0.8804700866728007,9.360384976853865,5,True,+
